outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,union,-2,2,1,amt_dur,.0008077728662498,0.001,.0016117026363277,0.002,.6162368468435834,628526,inc_tot_gt_p,0,-.0023511644,.0039667101,3,-2,-1.9724147
inc_tot_gt_p5,union,-2,2,1,amt_dur,-.0043855293068741,-0.004,.0027444054108066,0.003,.1100483658821759,628526,inc_tot_gt_p,5,-.0097645642,.00099350535,3,-2,-2.1497648
inc_tot_gt_p10,union,-2,2,1,amt_dur,-.005991176175023,-0.006*,.0033736519558513,0.003,.0757567152281652,628526,inc_tot_gt_p,10,-.012603534,.00062118168,2,-2,-2.2045972
inc_tot_gt_p15,union,-2,2,1,amt_dur,-.0019714494295782,-0.002,.0036905267658496,0.004,.5932098813475615,628526,inc_tot_gt_p,15,-.0092048822,.0052619833,3,-2,-2.0673246
inc_tot_gt_p20,union,-2,2,1,amt_dur,-.0005613764420345,-0.001,.0041003146169938,0.004,.891101732005749,628526,inc_tot_gt_p,20,-.0085979933,.0074752402,3,-2,-2.0191708
inc_tot_gt_p25,union,-2,2,1,amt_dur,-.001276023629431,-0.001,.0044219938489467,0.004,.7729163959195487,628526,inc_tot_gt_p,25,-.0099431314,.0073910845,3,-2,-2.043576
inc_tot_gt_p30,union,-2,2,1,amt_dur,.0002085309132031,0.000,.0048101309033687,0.005,.965420668890571,628526,inc_tot_gt_p,30,-.0092193261,.0096363872,3,-2,-1.9928787
inc_tot_gt_p35,union,-2,2,1,amt_dur,.0016553686723227,0.002,.0051613362356768,0.005,.7484195487842975,628526,inc_tot_gt_p,35,-.0084608505,.011771588,3,-2,-1.9434695
inc_tot_gt_p40,union,-2,2,1,amt_dur,.002893690349574,0.003,.0055469369619452,0.006,.601898702031662,628526,inc_tot_gt_p,40,-.0079783062,.013765687,3,-2,-1.9011811
inc_tot_gt_p45,union,-2,2,1,amt_dur,.0005316482971482,0.001,.0061271488350742,0.006,.9308550660852101,628526,inc_tot_gt_p,45,-.011477564,.01254086,3,-2,-1.9818443
inc_tot_gt_p50,union,-2,2,1,amt_dur,-.0004656311554688,-0.000,.0064705747034058,0.006,.9426328156143537,628526,inc_tot_gt_p,50,-.013147958,.012216696,3,-2,-2.0159011
inc_tot_gt_p55,union,-2,2,1,amt_dur,-.00711259699866,-0.007,.0065379547638991,0.007,.2766446434798082,628526,inc_tot_gt_p,55,-.019926988,.0057017943,3,-2,-2.2428935
inc_tot_gt_p60,union,-2,2,1,amt_dur,-.0058368049678945,-0.006,.0064544071803955,0.006,.3658314102496194,628526,inc_tot_gt_p,60,-.018487442,.006813833,3,-2,-2.1993256
