outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,union,-2,2,1,amt_dur,-.0106164789627402,-0.011*,.0059357294210275,0.006,.0736865728148846,628526,inc_work_gt_p,0,-.022250509,.0010175507,2,-2,-2.2793767
inc_work_gt_p5,union,-2,2,1,amt_dur,-.0041282367831989,-0.004,.0061559107648369,0.006,.5024682159804968,628526,inc_work_gt_p,5,-.016193822,.0079373484,3,-2,-2.1086361
inc_work_gt_p10,union,-2,2,1,amt_dur,-.0009656512834691,-0.001,.0065428333411915,0.007,.8826672839392611,628526,inc_work_gt_p,10,-.013789604,.011858302,3,-2,-2.0254116
inc_work_gt_p15,union,-2,2,1,amt_dur,.0057991615837413,0.006,.006843845243859,0.007,.3967995473007357,628526,inc_work_gt_p,15,-.0076147751,.019213099,3,-2,-1.8473928
inc_work_gt_p20,union,-2,2,1,amt_dur,.0008869777314585,0.001,.0070530747378105,0.007,.8999240408221091,628526,inc_work_gt_p,20,-.012937048,.014711005,3,-2,-1.9766588
inc_work_gt_p25,union,-2,2,1,amt_dur,.0033271715056813,0.003,.0075374253589065,0.008,.658909729941398,628526,inc_work_gt_p,25,-.011446183,.018100524,3,-2,-1.9124441
inc_work_gt_p30,union,-2,2,1,amt_dur,.0035895847907359,0.004,.0075906041557263,0.008,.6362865961978965,628526,inc_work_gt_p,30,-.011287999,.018467169,3,-2,-1.9055387
inc_work_gt_p35,union,-2,2,1,amt_dur,-.0023302794382786,-0.002,.0074105275301249,0.007,.7531758883638119,628526,inc_work_gt_p,35,-.016854914,.012194354,3,-2,-2.0613222
inc_work_gt_p40,union,-2,2,1,amt_dur,-.0017633506351353,-0.002,.0072335659383426,0.007,.8074068186843991,628526,inc_work_gt_p,40,-.015941139,.012414439,3,-2,-2.0464032
inc_work_gt_p45,union,-2,2,1,amt_dur,-.0037305931073633,-0.004,.0072185069832646,0.007,.6052901893350505,628526,inc_work_gt_p,45,-.017878868,.01041768,3,-2,-2.0981719
inc_work_gt_p50,union,-2,2,1,amt_dur,-.0009337875381198,-0.001,.0070224358973457,0.007,.8942157495811506,628526,inc_work_gt_p,50,-.014697762,.012830187,3,-2,-2.0245731
inc_work_gt_p55,union,-2,2,1,amt_dur,-.000333129471885,-0.000,.0070743300464286,0.007,.9624416662590729,628526,inc_work_gt_p,55,-.014198816,.013532558,3,-2,-2.0087664
inc_work_gt_p60,union,-2,2,1,amt_dur,.0031744392114275,0.003,.0068487872342474,0.007,.6430041898232224,628526,inc_work_gt_p,60,-.010249184,.016598063,3,-2,-1.9164634
inc_work_gt_p65,union,-2,2,1,amt_dur,.0041212167213408,0.004,.006616887229813,0.007,.5333954802673051,628526,inc_work_gt_p,65,-.008847882,.017090315,3,-2,-1.8915485
inc_work_gt_p70,union,-2,2,1,amt_dur,.0020454495995726,0.002,.0061937967814666,0.006,.7412180244495133,628526,inc_work_gt_p,70,-.010094392,.014185292,3,-2,-1.9461732
inc_work_gt_p75,union,-2,2,1,amt_dur,.0042542503091782,0.004,.0060726257130767,0.006,.4835779544112994,628526,inc_work_gt_p,75,-.007648096,.016156597,3,-2,-1.8880477
inc_work_gt_p80,union,-2,2,1,amt_dur,.002821638011539,0.003,.0057556569363499,0.006,.62396694432774,628526,inc_work_gt_p,80,-.0084594497,.014102725,3,-2,-1.9257475
inc_work_gt_p85,union,-2,2,1,amt_dur,.0030127874938305,0.003,.0054990130593962,0.005,.5837769008248468,628526,inc_work_gt_p,85,-.0077652782,.013790853,3,-2,-1.9207174
inc_work_gt_p90,union,-2,2,1,amt_dur,.0083378930911208,0.008,.0051409553041238,0.005,.1048369285087498,628526,inc_work_gt_p,90,-.0017383794,.018414166,3,-2,-1.7805851
inc_work_gt_p95,union,-2,2,1,amt_dur,.0076302841171919,0.008*,.0046323499457286,0.005,.0995252832118899,628526,inc_work_gt_p,95,-.0014491217,.016709691,2,-2,-1.799206
inc_work_gt_p0,union,0,2,1,amt_dur,.0043822081196465,0.004,.0044169197749446,0.004,.321130860052293,628526,inc_work_gt_p,0,-.0042749546,.013039371,3,0,.11531954
inc_work_gt_p5,union,0,2,1,amt_dur,.0061794027220903,0.006,.0046220740581603,0.005,.1812473545281322,628526,inc_work_gt_p,5,-.0028798624,.015238668,3,0,.16261342
inc_work_gt_p10,union,0,2,1,amt_dur,.0102353377279355,0.010**,.0050745470633065,0.005,.0436984590026358,628526,inc_work_gt_p,10,.00028922549,.020181449,1,0,.26934695
inc_work_gt_p15,union,0,2,1,amt_dur,.0081725430448989,0.008,.0053929770870336,0.005,.1296728509085339,628526,inc_work_gt_p,15,-.0023976921,.018742777,3,0,.21506369
