outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,union,-2,2,1,amt_dur,-.0033582042289011,-0.003,.0078934827055803,0.008,.670516704358771,639956,inc_y_gt_p,0,-.01882943,.012113022,3,-2,-2.1330431
inc_y_gt_p5,union,-2,2,1,amt_dur,-.0013802372229889,-0.001,.0078930755800817,0.008,.8611845875541894,639956,inc_y_gt_p,5,-.016850665,.014090191,3,-2,-2.0546813
inc_y_gt_p10,union,-2,2,1,amt_dur,.000948838318376,0.001,.0079121692249347,0.008,.9045456422903212,639956,inc_y_gt_p,10,-.014559014,.01645669,3,-2,-1.9624096
inc_y_gt_p15,union,-2,2,1,amt_dur,.0031891367997813,0.003,.007796521831842,0.008,.6825066386017656,639956,inc_y_gt_p,15,-.012092046,.018470319,3,-2,-1.873655
inc_y_gt_p20,union,-2,2,1,amt_dur,.0008741924026267,0.001,.0078451233820463,0.008,.91127453529977,639956,inc_y_gt_p,20,-.01450225,.016250635,3,-2,-1.9653668
inc_y_gt_p25,union,-2,2,1,amt_dur,.0036252785333996,0.004,.0078597895319844,0.008,.6446246809133231,639956,inc_y_gt_p,25,-.011779909,.019030467,3,-2,-1.8563762
inc_y_gt_p30,union,-2,2,1,amt_dur,-.001429888697064,-0.001,.0077190688564587,0.008,.8530402894541056,639956,inc_y_gt_p,30,-.016559264,.013699486,3,-2,-2.0566483
inc_y_gt_p35,union,-2,2,1,amt_dur,-.0005752733558264,-0.001,.0073167295012943,0.007,.9373315356244818,639956,inc_y_gt_p,35,-.014916063,.013765517,3,-2,-2.0227909
inc_y_gt_p40,union,-2,2,1,amt_dur,-.0019255516180338,-0.002,.0069981090759999,0.007,.7831991157198517,639956,inc_y_gt_p,40,-.015641846,.011790742,3,-2,-2.0762851
inc_y_gt_p45,union,-2,2,1,amt_dur,-.0002328555008134,-0.000,.0069382736011542,0.007,.9732272721266039,639956,inc_y_gt_p,45,-.013831872,.013366161,3,-2,-2.0092251
inc_y_gt_p50,union,-2,2,1,amt_dur,.0031334445726936,0.003,.0066290479167162,0.007,.6364396233474467,639956,inc_y_gt_p,50,-.0098594893,.016126379,3,-2,-1.8758613
inc_y_gt_p55,union,-2,2,1,amt_dur,.001420992429958,0.001,.0063487869934826,0.006,.8228969376501614,639956,inc_y_gt_p,55,-.01102263,.013864615,3,-2,-1.9437041
inc_y_gt_p60,union,-2,2,1,amt_dur,-.0003707097493429,-0.000,.006166401414648,0.006,.9520620187319661,639956,inc_y_gt_p,60,-.012456857,.011715437,3,-2,-2.0146866
inc_y_gt_p65,union,-2,2,1,amt_dur,.0013742497781158,0.001,.0058760104294576,0.006,.8150827468607174,639956,inc_y_gt_p,65,-.010142731,.01289123,3,-2,-1.9455559
inc_y_gt_p70,union,-2,2,1,amt_dur,.0008055208929713,0.001,.0054980991871067,0.005,.8835198738871934,639956,inc_y_gt_p,70,-.0099707535,.011581795,3,-2,-1.9680874
inc_y_gt_p75,union,-2,2,1,amt_dur,.0008745035304352,0.001,.0054414045942262,0.005,.8723198818872916,639956,inc_y_gt_p,75,-.0097906496,.011539657,3,-2,-1.9653546
inc_y_gt_p80,union,-2,2,1,amt_dur,.0018106190786389,0.002,.0050023611492537,0.005,.7173879362131392,639956,inc_y_gt_p,80,-.0079940092,.011615247,3,-2,-1.9282681
inc_y_gt_p85,union,-2,2,1,amt_dur,.002730628952666,0.003,.0046827343441192,0.005,.5598089976518034,639956,inc_y_gt_p,85,-.0064475304,.011908788,3,-2,-1.8918198
inc_y_gt_p90,union,-2,2,1,amt_dur,.0031162775154643,0.003,.0043839458150468,0.004,.477185833964877,639956,inc_y_gt_p,90,-.0054762564,.011708811,3,-2,-1.8765414
inc_y_gt_p95,union,-2,2,1,amt_dur,.0018685633454663,0.002,.0036845524696343,0.004,.6120615379531797,639956,inc_y_gt_p,95,-.0053531593,.0090902857,3,-2,-1.9259725
inc_y_gt_p0,union,0,2,1,amt_dur,.0015367823510352,0.002,.0060323346751104,0.006,.7989109022336465,639956,inc_y_gt_p,0,-.010286594,.013360159,3,0,.060883205
inc_y_gt_p5,union,0,2,1,amt_dur,.0050946057142374,0.005,.0059587180546608,0.006,.3925621524397117,639956,inc_y_gt_p,5,-.0065844818,.016773693,3,0,.20183465
inc_y_gt_p10,union,0,2,1,amt_dur,.0100965927807479,0.010*,.0059369162905906,0.006,.0890123382848873,639956,inc_y_gt_p,10,-.0015397632,.021732949,2,0,.40000001
inc_y_gt_p15,union,0,2,1,amt_dur,.0077910320517049,0.008,.0062390795735455,0.006,.2117602973577914,639956,inc_y_gt_p,15,-.0044375639,.020019628,3,0,.30865985
inc_y_gt_p20,union,0,2,1,amt_dur,.0070884068487417,0.007,.0061839621531632,0.006,.2516915499770826,639956,inc_y_gt_p,20,-.0050321589,.019208973,3,0,.28082371
inc_y_gt_p25,union,0,2,1,amt_dur,.0099527238080682,0.010,.0061063263765482,0.006,.1031247459472802,639956,inc_y_gt_p,25,-.0020156759,.021921124,3,0,.39430028
inc_y_gt_p30,union,0,2,1,amt_dur,.0090914106709144,0.009,.005921867031682,0.006,.1247309593617291,639956,inc_y_gt_p,30,-.0025154487,.02069827,3,0,.36017737
inc_y_gt_p35,union,0,2,1,amt_dur,.0050844612994229,0.005,.0057599403903451,0.006,.3773851367102178,639956,inc_y_gt_p,35,-.0062050219,.016373944,3,0,.20143275
inc_y_gt_p40,union,0,2,1,amt_dur,.0019319930191558,0.002,.005097103795178,0.005,.7046608223068168,639956,inc_y_gt_p,40,-.00805833,.011922317,3,0,.076540396
inc_y_gt_p45,union,0,2,1,amt_dur,-.0002305750680287,-0.000,.0046350901115323,0.005,.9603252555436302,639956,inc_y_gt_p,45,-.009315352,.008854202,3,0,-.0091347676
inc_y_gt_p50,union,0,2,1,amt_dur,-.0014794578148757,-0.001,.0044294380502458,0.004,.7383758559836866,639956,inc_y_gt_p,50,-.010161157,.0072022406,3,0,-.05861216
inc_y_gt_p55,union,0,2,1,amt_dur,-.0025839342439783,-0.003,.0041808994521655,0.004,.5365548118955175,639956,inc_y_gt_p,55,-.010778497,.0056106285,3,0,-.10236856
inc_y_gt_p60,union,0,2,1,amt_dur,-.0003056781173569,-0.000,.0039114310684276,0.004,.9377089228425026,639956,inc_y_gt_p,60,-.0079720831,.0073607266,3,0,-.012110149
inc_y_gt_p65,union,0,2,1,amt_dur,.002523597233694,0.003,.0038053769587619,0.004,.5072255427623542,639956,inc_y_gt_p,65,-.0049349414,.0099821361,3,0,.099978171
inc_y_gt_p70,union,0,2,1,amt_dur,.0024512540643042,0.002,.0036777233121844,0.004,.5050840307879256,639956,inc_y_gt_p,70,-.0047570835,.0096595921,3,0,.097112127
inc_y_gt_p75,union,0,2,1,amt_dur,.0021283850031785,0.002,.003459111095051,0.003,.5383590576149867,639956,inc_y_gt_p,75,-.0046514729,.0089082429,3,0,.084320918
inc_y_gt_p80,union,0,2,1,amt_dur,-.0009332092999822,-0.001,.0032667089493416,0.003,.775129421049385,639956,inc_y_gt_p,80,-.007335959,.0054695401,3,0,-.036971256
inc_y_gt_p85,union,0,2,1,amt_dur,-.0017958286180413,-0.002,.002869903796487,0.003,.5314833697653005,639956,inc_y_gt_p,85,-.0074208402,.0038291828,3,0,-.071145929
inc_y_gt_p90,union,0,2,1,amt_dur,-.0024391458087505,-0.002,.0022206002591253,0.002,.272024724311211,639956,inc_y_gt_p,90,-.0067915223,.0019132307,3,0,-.096632436
inc_y_gt_p95,union,0,2,1,amt_dur,.0001069198821953,0.000,.0016276137181522,0.002,.9476238069998548,639956,inc_y_gt_p,95,-.003083203,.0032970428,3,0,.0042358795
inc_y_gt_p0,union,1,2,1,amt_dur,-.0007419047813893,-0.001,.0054006432676993,0.005,.8907359013059427,639956,inc_y_gt_p,0,-.011327165,.009843356,3,1,.9706077
inc_y_gt_p5,union,1,2,1,amt_dur,-.002117762965422,-0.002,.0053946169355188,0.005,.6946381155399917,639956,inc_y_gt_p,5,-.012691212,.0084556863,3,1,.91609991
inc_y_gt_p10,union,1,2,1,amt_dur,-.005518535796165,-0.006,.0054567620909136,0.005,.3118652645456504,639956,inc_y_gt_p,10,-.01621379,.0051767179,3,1,.7813704
inc_y_gt_p15,union,1,2,1,amt_dur,-.0046946418987461,-0.005,.0052381436434269,0.005,.3701257561146104,639956,inc_y_gt_p,15,-.014961404,.0055721197,3,1,.81401086
inc_y_gt_p20,union,1,2,1,amt_dur,-.0064581501281327,-0.006,.0051913895509389,0.005,.2134978760761013,639956,inc_y_gt_p,20,-.016633274,.0037169734,3,1,.74414539
inc_y_gt_p25,union,1,2,1,amt_dur,-.0028797504359043,-0.003,.0048881843412421,0.005,.5557788045710854,639956,inc_y_gt_p,25,-.012460592,.0067010908,3,1,.885912
inc_y_gt_p30,union,1,2,1,amt_dur,-.0020537709768683,-0.002,.0048466325909758,0.005,.6717474148185036,639956,inc_y_gt_p,30,-.011553171,.0074456288,3,1,.91863507
inc_y_gt_p35,union,1,2,1,amt_dur,-.0033358764734437,-0.003,.0047508338092648,0.005,.4825768174250609,639956,inc_y_gt_p,35,-.012647511,.0059757577,3,1,.86784148
inc_y_gt_p40,union,1,2,1,amt_dur,-.0068182056470217,-0.007,.0046808514474318,0.005,.1452251393040434,639956,inc_y_gt_p,40,-.015992675,.0023562631,3,1,.72988093
inc_y_gt_p45,union,1,2,1,amt_dur,-.0057801948579227,-0.006,.0045197375543322,0.005,.2009425927954873,639956,inc_y_gt_p,45,-.01463888,.0030784907,3,1,.77100414
inc_y_gt_p50,union,1,2,1,amt_dur,-.0061639827568127,-0.006,.00453478705959,0.005,.174065063674663,639956,inc_y_gt_p,50,-.015052166,.0027241998,3,1,.75579947
