outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,union,-2,2,1,amt_dur,-.0046733936715173,-0.005,.0051844188356252,0.005,.3673614206628191,714200,taxable_income_gt_p,0,-.014834855,.0054880674,3,-2,-2.1914229
taxable_income_gt_p5,union,-2,2,1,amt_dur,-.0016902830715337,-0.002,.0053542867496232,0.005,.7522400825874882,714200,taxable_income_gt_p,5,-.012184685,.0088041192,3,-2,-2.0692344
taxable_income_gt_p10,union,-2,2,1,amt_dur,-.0007167263469126,-0.001,.0056506888030073,0.006,.8990682533391724,714200,taxable_income_gt_p,10,-.011792077,.010358624,3,-2,-2.0293572
taxable_income_gt_p15,union,-2,2,1,amt_dur,.0041188273523535,0.004,.0058166040784206,0.006,.4788750652761241,714200,taxable_income_gt_p,15,-.0072817164,.015519371,3,-2,-1.8312922
taxable_income_gt_p20,union,-2,2,1,amt_dur,.0054431569098331,0.005,.0061488198617425,0.006,.3760312939413928,714200,taxable_income_gt_p,20,-.0066085299,.017494844,3,-2,-1.7770474
taxable_income_gt_p25,union,-2,2,1,amt_dur,.0052188229895588,0.005,.0064577792531735,0.006,.4190087917917282,714200,taxable_income_gt_p,25,-.0074384245,.01787607,3,-2,-1.7862362
taxable_income_gt_p30,union,-2,2,1,amt_dur,.003540298778867,0.004,.0066452027393326,0.007,.5942007532188019,714200,taxable_income_gt_p,30,-.0094842985,.016564896,3,-2,-1.8549888
taxable_income_gt_p35,union,-2,2,1,amt_dur,-.0020235388600169,-0.002,.0069810491041198,0.007,.7719225837450736,714200,taxable_income_gt_p,35,-.015706396,.011659318,3,-2,-2.0828846
taxable_income_gt_p40,union,-2,2,1,amt_dur,-.0047227888289901,-0.005,.0073177486181904,0.007,.5186769872298141,714200,taxable_income_gt_p,40,-.019065576,.0096199987,3,-2,-2.1934462
taxable_income_gt_p45,union,-2,2,1,amt_dur,-.0027437575772823,-0.003,.0071571792987485,0.007,.7014555397425359,714200,taxable_income_gt_p,45,-.016771829,.011284314,3,-2,-2.1123848
taxable_income_gt_p50,union,-2,2,1,amt_dur,-.0049719606062363,-0.005,.0071706561225485,0.007,.4880751191916661,714200,taxable_income_gt_p,50,-.019026447,.009082525,3,-2,-2.2036524
taxable_income_gt_p55,union,-2,2,1,amt_dur,-.0010500136244151,-0.001,.0071412136173956,0.007,.8831040828477965,714200,taxable_income_gt_p,55,-.015046792,.012946765,3,-2,-2.0430088
taxable_income_gt_p60,union,-2,2,1,amt_dur,-.0014010423030102,-0.001,.0070176661487576,0.007,.8417585652600894,714200,taxable_income_gt_p,60,-.015155668,.012353583,3,-2,-2.0573869
taxable_income_gt_p65,union,-2,2,1,amt_dur,-.0026009719619045,-0.003,.0064256313050867,0.006,.6856394623727975,714200,taxable_income_gt_p,65,-.01519521,.0099932654,3,-2,-2.1065361
taxable_income_gt_p70,union,-2,2,1,amt_dur,-.0037075898717152,-0.004,.0063233913530802,0.006,.5576554328578429,714200,taxable_income_gt_p,70,-.016101437,.0086862575,3,-2,-2.1518636
taxable_income_gt_p75,union,-2,2,1,amt_dur,-.0046485481931777,-0.005,.006084820475,0.006,.4448938360399206,714200,taxable_income_gt_p,75,-.016574796,.0072777001,3,-2,-2.1904054
taxable_income_gt_p80,union,-2,2,1,amt_dur,-.0016648415484073,-0.002,.0059520994197837,0.006,.7797031376866156,714200,taxable_income_gt_p,80,-.013330956,.010001273,3,-2,-2.0681922
taxable_income_gt_p85,union,-2,2,1,amt_dur,.0012306260047449,0.001,.0058728195509651,0.006,.8340223999857428,714200,taxable_income_gt_p,85,-.010280101,.012741352,3,-2,-1.9495933
taxable_income_gt_p90,union,-2,2,1,amt_dur,.007845324974605,0.008,.005371395664043,0.005,.144135057152044,714200,taxable_income_gt_p,90,-.0026826104,.01837326,3,-2,-1.6786543
taxable_income_gt_p95,union,-2,2,1,amt_dur,.0069015720300946,0.007,.0048371481777816,0.005,.153644646851966,714200,taxable_income_gt_p,95,-.0025792385,.016382383,3,-2,-1.7173105
taxable_income_gt_p0,union,0,2,1,amt_dur,-.0070770205740726,-0.007*,.0037264877554107,0.004,.0575522847707675,714200,taxable_income_gt_p,0,-.014380937,.00022689543,2,0,-.28987586
taxable_income_gt_p5,union,0,2,1,amt_dur,-.0040894966137497,-0.004,.0038624982819121,0.004,.2897069671759446,714200,taxable_income_gt_p,5,-.011659993,.003481,3,0,-.16750643
taxable_income_gt_p10,union,0,2,1,amt_dur,.0015747414733091,0.002,.0041979875832836,0.004,.7075733047361232,714200,taxable_income_gt_p,10,-.006653314,.0098027969,3,0,.064501658
taxable_income_gt_p15,union,0,2,1,amt_dur,6.67914376283e-06,0.000,.0044641732332925,0.004,.9988062355113071,714200,taxable_income_gt_p,15,-.0087431008,.0087564588,3,0,.00027357877
taxable_income_gt_p20,union,0,2,1,amt_dur,.0067436781567618,0.007,.0048084976541568,0.005,.160783720664645,714200,taxable_income_gt_p,20,-.0026809773,.016168334,3,0,.27622211
taxable_income_gt_p25,union,0,2,1,amt_dur,.0084340646950637,0.008*,.0050758230696319,0.005,.0965928320224862,714200,taxable_income_gt_p,25,-.0015145486,.018382678,2,0,.34546062
taxable_income_gt_p30,union,0,2,1,amt_dur,.0075147741396683,0.008,.0054002999158857,0.005,.1640622894473989,714200,taxable_income_gt_p,30,-.0030698136,.018099362,3,0,.30780634
taxable_income_gt_p35,union,0,2,1,amt_dur,.0041292307056259,0.004,.0056419521138724,0.006,.4642435184723129,714200,taxable_income_gt_p,35,-.0069289953,.015187457,3,0,.16913395
taxable_income_gt_p40,union,0,2,1,amt_dur,.0044923162697791,0.004,.0057315332102081,0.006,.4331652651811149,714200,taxable_income_gt_p,40,-.0067414888,.015726121,3,0,.18400598
taxable_income_gt_p45,union,0,2,1,amt_dur,.0063326843981058,0.006,.0055264098715572,0.006,.2518411938821339,714200,taxable_income_gt_p,45,-.0044990787,.017164448,3,0,.25938776
taxable_income_gt_p50,union,0,2,1,amt_dur,-.0043237717905314,-0.004,.0055331623850929,0.006,.4345521043134561,714200,taxable_income_gt_p,50,-.01516877,.0065212264,3,0,-.17710237
taxable_income_gt_p55,union,0,2,1,amt_dur,-.0026282258427499,-0.003,.0053737897783279,0.005,.6247843662019481,714200,taxable_income_gt_p,55,-.013160854,.007904402,3,0,-.10765254
taxable_income_gt_p60,union,0,2,1,amt_dur,-.0017684497098113,-0.002,.0051488843887518,0.005,.7312510630573587,714200,taxable_income_gt_p,60,-.011860264,.008323364,3,0,-.072435975
taxable_income_gt_p65,union,0,2,1,amt_dur,.0010172011260688,0.001,.0050435315370795,0.005,.8401639137459658,714200,taxable_income_gt_p,65,-.0088681206,.010902523,3,0,.04166472
taxable_income_gt_p70,union,0,2,1,amt_dur,.0068748551376016,0.007,.0050492931176835,0.005,.173343377513765,714200,taxable_income_gt_p,70,-.0030217594,.016771469,3,0,.28159514
taxable_income_gt_p75,union,0,2,1,amt_dur,.0005262605680243,0.001,.0049078583261815,0.005,.9146081811577612,714200,taxable_income_gt_p,75,-.0090931421,.010145663,3,0,.021555716
taxable_income_gt_p80,union,0,2,1,amt_dur,-.0005281427521155,-0.001,.0044263426798742,0.004,.9050235723938218,714200,taxable_income_gt_p,80,-.0092037749,.0081474893,3,0,-.021632811
taxable_income_gt_p85,union,0,2,1,amt_dur,.0034867590388662,0.003,.0040995983491131,0.004,.3950421635558159,714200,taxable_income_gt_p,85,-.0045484537,.011521972,3,0,.1428182
taxable_income_gt_p90,union,0,2,1,amt_dur,.0016719759461207,0.002,.0034836377215845,0.003,.6312630888314846,714200,taxable_income_gt_p,90,-.005155954,.0084999055,3,0,.068484396
taxable_income_gt_p95,union,0,2,1,amt_dur,.001036220781848,0.001,.0024920511733488,0.002,.6775495705352773,714200,taxable_income_gt_p,95,-.0038481995,.0059206411,3,0,.042443767
taxable_income_gt_p0,union,1,2,1,amt_dur,.0036384646646379,0.004,.0033030517623631,0.003,.2706613688189142,714200,taxable_income_gt_p,0,-.0028355168,.010112446,3,1,1.1490321
taxable_income_gt_p5,union,1,2,1,amt_dur,.0039605995500127,0.004,.0036062434521732,0.004,.2720925979866028,714200,taxable_income_gt_p,5,-.0031076376,.011028836,3,1,1.1622268
taxable_income_gt_p10,union,1,2,1,amt_dur,.004155508934456,0.004,.0039138275024181,0.004,.2883512464934802,714200,taxable_income_gt_p,10,-.003515593,.011826611,3,1,1.1702102
taxable_income_gt_p15,union,1,2,1,amt_dur,.005559467490783,0.006,.0040940015467979,0.004,.174480958778994,714200,taxable_income_gt_p,15,-.0024647755,.01358371,3,1,1.2277167
taxable_income_gt_p20,union,1,2,1,amt_dur,.0097655874520183,0.010**,.0042772836999435,0.004,.022424727843248,714200,taxable_income_gt_p,20,.0013821115,.018149063,1,1,1.4
taxable_income_gt_p25,union,1,2,1,amt_dur,.0088824500568733,0.009**,.0045004687980508,0.005,.0484215519263318,714200,taxable_income_gt_p,25,.000061531209,.017703369,1,1,1.3638265
