outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,urate_llm_p25,-2,2,1,amt_dur,-.0000641612053595,-0.000,.0008671614851262,0.001,.9410185471685739,623199,inc_tot_gt_p,0,-.0017637977,.0016354753,3,-2,-2.0036001
inc_tot_gt_p5,urate_llm_p25,-2,2,1,amt_dur,-.0025473091919388,-0.003,.0015946935521112,0.002,.1101871017429634,623199,inc_tot_gt_p,5,-.0056729084,.00057829014,3,-2,-2.1429341
inc_tot_gt_p10,urate_llm_p25,-2,2,1,amt_dur,-.0067017574650224,-0.007***,.0019000500289877,0.002,.0004202373670542,623199,inc_tot_gt_p,10,-.010425855,-.0029776595,1,-2,-2.3760476
inc_tot_gt_p15,urate_llm_p25,-2,2,1,amt_dur,-.0040445180477562,-0.004**,.0020600426928022,0.002,.0496118626323087,623199,inc_tot_gt_p,15,-.0080822017,-6.8343697e-06,1,-2,-2.2269452
inc_tot_gt_p20,urate_llm_p25,-2,2,1,amt_dur,-.00204919079476,-0.002,.0021523276976346,0.002,.3410579342674563,623199,inc_tot_gt_p,20,-.006267753,.0021693716,3,-2,-2.1149838
inc_tot_gt_p25,urate_llm_p25,-2,2,1,amt_dur,-.0034271929059848,-0.003,.0023017788925096,0.002,.136508140691217,623199,inc_tot_gt_p,25,-.0079386793,.0010842937,3,-2,-2.1923058
inc_tot_gt_p30,urate_llm_p25,-2,2,1,amt_dur,.0007527585913966,0.001,.002358239282963,0.002,.7495727093695743,623199,inc_tot_gt_p,30,-.0038693903,.0053749075,3,-2,-1.9577614
inc_tot_gt_p35,urate_llm_p25,-2,2,1,amt_dur,.0009550451823032,0.001,.0024843805845033,0.002,.7006680612998089,623199,inc_tot_gt_p,35,-.0039143409,.0058244313,3,-2,-1.9464107
inc_tot_gt_p40,urate_llm_p25,-2,2,1,amt_dur,.0022556523122475,0.002,.0025645702349128,0.003,.3791083679660213,623199,inc_tot_gt_p,40,-.0027709054,.00728221,3,-2,-1.8734313
inc_tot_gt_p45,urate_llm_p25,-2,2,1,amt_dur,.0004443250875073,0.000,.0026484600892631,0.003,.8667666384208675,623199,inc_tot_gt_p,45,-.0047466569,.0056353067,3,-2,-1.9750681
inc_tot_gt_p50,urate_llm_p25,-2,2,1,amt_dur,.0008784126313344,0.001,.0028315207644265,0.003,.7563893614993081,623199,inc_tot_gt_p,50,-.0046713683,.0064281933,3,-2,-1.9507107
inc_tot_gt_p55,urate_llm_p25,-2,2,1,amt_dur,.0009566071832861,0.001,.0028909058926586,0.003,.7407189898829734,623199,inc_tot_gt_p,55,-.0047095683,.0066227829,3,-2,-1.946323
inc_tot_gt_p60,urate_llm_p25,-2,2,1,amt_dur,.0025337239837387,0.003,.0028708774361246,0.003,.3774755754734711,623199,inc_tot_gt_p,60,-.0030931958,.0081606442,3,-2,-1.8578283
inc_tot_gt_p65,urate_llm_p25,-2,2,1,amt_dur,.0021738859216588,0.002,.003130049439087,0.003,.4873568687228099,623199,inc_tot_gt_p,65,-.0039610108,.0083087832,3,-2,-1.8780195
inc_tot_gt_p70,urate_llm_p25,-2,2,1,amt_dur,.0031999661445666,0.003,.0030994255212183,0.003,.3018690854376543,623199,inc_tot_gt_p,70,-.0028749078,.0092748404,3,-2,-1.8204442
inc_tot_gt_p75,urate_llm_p25,-2,2,1,amt_dur,.0026104010440875,0.003,.0029918099349077,0.003,.3829290773485027,623199,inc_tot_gt_p,75,-.0032535465,.0084743481,3,-2,-1.8535258
inc_tot_gt_p80,urate_llm_p25,-2,2,1,amt_dur,.0002997373808285,0.000,.0028177413225475,0.003,.9152849849690075,623199,inc_tot_gt_p,80,-.0052230358,.0058225105,3,-2,-1.9831812
inc_tot_gt_p85,urate_llm_p25,-2,2,1,amt_dur,-.0000977905858491,-0.000,.0026291229440775,0.003,.9703294859355873,623199,inc_tot_gt_p,85,-.0052508716,.0050552902,3,-2,-2.0054872
inc_tot_gt_p90,urate_llm_p25,-2,2,1,amt_dur,-.0024116787240111,-0.002,.0024010869118618,0.002,.3151826917536531,623199,inc_tot_gt_p,90,-.0071178093,.0022944517,3,-2,-2.1353235
inc_tot_gt_p95,urate_llm_p25,-2,2,1,amt_dur,.0003606401577364,0.000,.0020994616801526,0.002,.8636128243203486,623199,inc_tot_gt_p,95,-.0037543047,.0044755852,3,-2,-1.9797639
inc_tot_gt_p0,urate_llm_p25,0,2,1,amt_dur,-.0005566747751866,-0.001,.0008507686825806,0.001,.5129072092634196,623199,inc_tot_gt_p,0,-.0022241813,.0011108319,3,0,-.031236012
inc_tot_gt_p5,urate_llm_p25,0,2,1,amt_dur,-.0001146219284567,-0.000,.0018686649139489,0.002,.9510893923517151,623199,inc_tot_gt_p,5,-.0037772052,.0035479614,3,0,-.0064316406
inc_tot_gt_p10,urate_llm_p25,0,2,1,amt_dur,-.0031520343798104,-0.003,.0022648464482088,0.002,.164009784074209,623199,inc_tot_gt_p,10,-.0075911335,.0012870646,3,0,-.17686626
inc_tot_gt_p15,urate_llm_p25,0,2,1,amt_dur,-.0026780704149342,-0.003,.0025117792851697,0.003,.2863336011699573,623199,inc_tot_gt_p,15,-.0076011578,.0022450171,3,0,-.1502713
inc_tot_gt_p20,urate_llm_p25,0,2,1,amt_dur,-.0043613666125581,-0.004,.0027041198042972,0.003,.1067778731673877,623199,inc_tot_gt_p,20,-.0096614417,.0009387082,3,0,-.24472404
inc_tot_gt_p25,urate_llm_p25,0,2,1,amt_dur,-.0039754011783605,-0.004,.0027861637440707,0.003,.1536298291457618,623199,inc_tot_gt_p,25,-.0094362823,.0014854798,3,0,-.22306684
inc_tot_gt_p30,urate_llm_p25,0,2,1,amt_dur,.0000690110075867,0.000,.0031658385290358,0.003,.9826086112330609,623199,inc_tot_gt_p,30,-.0061360323,.0062740543,3,0,.0038723305
inc_tot_gt_p35,urate_llm_p25,0,2,1,amt_dur,-.0005080004328979,-0.001,.0030153206598859,0.003,.8662114182895914,623199,inc_tot_gt_p,35,-.0064180288,.0054020281,3,0,-.028504808
inc_tot_gt_p40,urate_llm_p25,0,2,1,amt_dur,-.0022280857196547,-0.002,.0030235730206475,0.003,.4611818066511826,623199,inc_tot_gt_p,40,-.0081542889,.0036981173,3,0,-.12502186
inc_tot_gt_p45,urate_llm_p25,0,2,1,amt_dur,-.0030286320797501,-0.003,.0031050789699485,0.003,.3293739755234157,623199,inc_tot_gt_p,45,-.0091145867,.0030573227,3,0,-.16994193
inc_tot_gt_p50,urate_llm_p25,0,2,1,amt_dur,-.0011839487914687,-0.001,.0031938285406356,0.003,.7108625266154469,623199,inc_tot_gt_p,50,-.0074438527,.0050759553,3,0,-.066433474
inc_tot_gt_p55,urate_llm_p25,0,2,1,amt_dur,-.0032881221380625,-0.003,.0031667945913638,0.003,.2991269712346961,623199,inc_tot_gt_p,55,-.0094950395,.0029187952,3,0,-.18450238
inc_tot_gt_p60,urate_llm_p25,0,2,1,amt_dur,-.0056462429978587,-0.006*,.0031776679299462,0.003,.0755955624057059,623199,inc_tot_gt_p,60,-.011874472,.00058198615,2,0,-.31682074
inc_tot_gt_p65,urate_llm_p25,0,2,1,amt_dur,-.0017981667506178,-0.002,.0031182646598816,0.003,.5641729142432961,623199,inc_tot_gt_p,65,-.0079099657,.0043136319,3,0,-.10089833
inc_tot_gt_p70,urate_llm_p25,0,2,1,amt_dur,.0006255304529379,0.001,.0031725899728939,0.003,.8436971273433962,623199,inc_tot_gt_p,70,-.0055927457,.0068438067,3,0,.035099626
inc_tot_gt_p75,urate_llm_p25,0,2,1,amt_dur,.0016818398042275,0.002,.0030362998680974,0.003,.5796409319239701,623199,inc_tot_gt_p,75,-.0042693079,.0076329876,3,0,.094371021
inc_tot_gt_p80,urate_llm_p25,0,2,1,amt_dur,-.0018892199715871,-0.002,.003098490119845,0.003,.5420467613513941,623199,inc_tot_gt_p,80,-.0079622604,.0041838204,3,0,-.10600749
inc_tot_gt_p85,urate_llm_p25,0,2,1,amt_dur,-.0000862742291642,-0.000,.0027347549993998,0.003,.9748331025913338,623199,inc_tot_gt_p,85,-.005446394,.0052738455,3,0,-.0048410003
inc_tot_gt_p90,urate_llm_p25,0,2,1,amt_dur,-.0028230961411913,-0.003,.0023850404009199,0.002,.2365471106369145,623199,inc_tot_gt_p,90,-.0074977754,.001851583,3,0,-.15840895
inc_tot_gt_p95,urate_llm_p25,0,2,1,amt_dur,-.0008489377273265,-0.001,.0019255617258683,0.002,.6593022381315965,623199,inc_tot_gt_p,95,-.0046230387,.0029251634,3,0,-.047635406
inc_tot_gt_p0,urate_llm_p25,1,2,1,amt_dur,6.21303061463e-06,0.000,.000762292671727,0.001,.9934969665209844,623199,inc_tot_gt_p,0,-.0014878806,.0015003067,3,1,1.0003486
inc_tot_gt_p5,urate_llm_p25,1,2,1,amt_dur,.0004871244688685,0.000,.0018992058870851,0.002,.7975741511788343,623199,inc_tot_gt_p,5,-.0032353192,.0042095678,3,1,1.0273334
inc_tot_gt_p10,urate_llm_p25,1,2,1,amt_dur,-.0012532752272525,-0.001,.002338149381291,0.002,.5919516340956643,623199,inc_tot_gt_p,10,-.0058360482,.0033294975,3,1,.92967647
inc_tot_gt_p15,urate_llm_p25,1,2,1,amt_dur,.0010031187267567,0.001,.0026550133612199,0.003,.7055646210484555,623199,inc_tot_gt_p,15,-.0042007077,.0062069451,3,1,1.0562868
inc_tot_gt_p20,urate_llm_p25,1,2,1,amt_dur,.0014855590576147,0.001,.0029793594069664,0.003,.6180502943294175,623199,inc_tot_gt_p,20,-.0043539852,.0073251035,3,1,1.0833573
inc_tot_gt_p25,urate_llm_p25,1,2,1,amt_dur,-.0011737716168157,-0.001,.0031480100329535,0.003,.7092522940610015,623199,inc_tot_gt_p,25,-.0073438711,.0049963281,3,1,.93413758
inc_tot_gt_p30,urate_llm_p25,1,2,1,amt_dur,.0009431967594767,0.001,.0034103740068394,0.003,.7821131730645831,623199,inc_tot_gt_p,30,-.0057411361,.00762753,3,1,1.0529244
inc_tot_gt_p35,urate_llm_p25,1,2,1,amt_dur,.0036914981093741,0.004,.0036218822100549,0.004,.3081003968418471,623199,inc_tot_gt_p,35,-.003407391,.010790387,3,1,1.2071365
inc_tot_gt_p40,urate_llm_p25,1,2,1,amt_dur,.0012924508760933,0.001,.0037047533420786,0.004,.727192947632688,623199,inc_tot_gt_p,40,-.0059688655,.0085537676,3,1,1.0725217
inc_tot_gt_p45,urate_llm_p25,1,2,1,amt_dur,-.0002137476531259,-0.000,.0037988400925808,0.004,.9551295649414577,623199,inc_tot_gt_p,45,-.0076594744,.0072319787,3,1,.98800623
inc_tot_gt_p50,urate_llm_p25,1,2,1,amt_dur,.0019073871017778,0.002,.0039364270989242,0.004,.6279981368270526,623199,inc_tot_gt_p,50,-.0058080102,.0096227843,3,1,1.1070269
inc_tot_gt_p55,urate_llm_p25,1,2,1,amt_dur,.0000307828685054,0.000,.0040399563954902,0.004,.9939205084882766,623199,inc_tot_gt_p,55,-.007887532,.0079490971,3,1,1.0017272
inc_tot_gt_p60,urate_llm_p25,1,2,1,amt_dur,.0000178116684985,0.000,.0039191583815822,0.004,.9963738201243125,623199,inc_tot_gt_p,60,-.0076637389,.007699362,3,1,1.0009995
inc_tot_gt_p65,urate_llm_p25,1,2,1,amt_dur,.0021815352331645,0.002,.0039965179983768,0.004,.5851640130328534,623199,inc_tot_gt_p,65,-.0056516402,.010014711,3,1,1.1224098
inc_tot_gt_p70,urate_llm_p25,1,2,1,amt_dur,.0051372236214079,0.005,.0038402986114833,0.004,.1809923172140394,623199,inc_tot_gt_p,70,-.0023897616,.012664209,3,1,1.2882588
inc_tot_gt_p75,urate_llm_p25,1,2,1,amt_dur,.0037435632670816,0.004,.0036975271786435,0.004,.3113249831412115,623199,inc_tot_gt_p,75,-.0035035899,.010990717,3,1,1.210058
inc_tot_gt_p80,urate_llm_p25,1,2,1,amt_dur,-.0001809158623041,-0.000,.0036901223685045,0.004,.960897819886583,623199,inc_tot_gt_p,80,-.0074135559,.007051724,3,1,.98984849
inc_tot_gt_p85,urate_llm_p25,1,2,1,amt_dur,.0017048808704936,0.002,.0034500630916747,0.003,.6211946706408205,623199,inc_tot_gt_p,85,-.0050572427,.0084670046,3,1,1.0956639
inc_tot_gt_p90,urate_llm_p25,1,2,1,amt_dur,.0001748841427564,0.000,.0029586217105443,0.003,.9528646002083084,623199,inc_tot_gt_p,90,-.0056240144,.0059737829,3,1,1.0098131
inc_tot_gt_p95,urate_llm_p25,1,2,1,amt_dur,-.0031954344702131,-0.003,.002299705933776,0.002,.1646845598001688,623199,inc_tot_gt_p,95,-.0077028582,.0013119892,3,1,.8206985
inc_tot_gt_p0,urate_llm_p25,2,2,1,amt_dur,.000512298487538,0.001,.0008020951667123,0.001,.5230192292716465,623199,inc_tot_gt_p,0,-.0010598081,.0020844049,3,2,2.0287459
inc_tot_gt_p5,urate_llm_p25,2,2,1,amt_dur,.0009245425742168,0.001,.0019314198715137,0.002,.6321633998687017,623199,inc_tot_gt_p,5,-.0028610404,.0047101257,3,2,2.0518777
