outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,urate_llm_p25,-2,2,1,amt_dur,-.001473757402137,-0.001,.0020913496601334,0.002,.4810034518306031,703426,taxable_income_gt_p,0,-.0055728029,.002625288,3,-2,-2.0618374
taxable_income_gt_p5,urate_llm_p25,-2,2,1,amt_dur,-.0020448564670857,-0.002,.0023461481256615,0.002,.3834393358237093,703426,taxable_income_gt_p,5,-.0066433069,.0025535938,3,-2,-2.0858002
taxable_income_gt_p10,urate_llm_p25,-2,2,1,amt_dur,-.0023789810111935,-0.002,.0023925837084119,0.002,.3200719515219765,703426,taxable_income_gt_p,10,-.007068445,.002310483,3,-2,-2.0998199
taxable_income_gt_p15,urate_llm_p25,-2,2,1,amt_dur,-.0041833266834351,-0.004*,.0024429325187062,0.002,.086822170783351,703426,taxable_income_gt_p,15,-.0089714741,.00060482108,2,-2,-2.1755285
taxable_income_gt_p20,urate_llm_p25,-2,2,1,amt_dur,-.0025968506635971,-0.003,.0024277788383536,0.002,.2847835461075521,703426,taxable_income_gt_p,20,-.007355297,.002161596,3,-2,-2.1089613
taxable_income_gt_p25,urate_llm_p25,-2,2,1,amt_dur,-.0000118295685204,-0.000,.0024380847248719,0.002,.9961286943933583,703426,taxable_income_gt_p,25,-.0047904756,.0047668163,3,-2,-2.0004964
taxable_income_gt_p30,urate_llm_p25,-2,2,1,amt_dur,.0038874880972277,0.004,.0025661636568438,0.003,.1298000065538819,703426,taxable_income_gt_p,30,-.0011421926,.0089171687,3,-2,-1.8368846
taxable_income_gt_p35,urate_llm_p25,-2,2,1,amt_dur,.0015567882854776,0.002,.0027094274144893,0.003,.5655752170605095,703426,taxable_income_gt_p,35,-.0037536894,.0068672658,3,-2,-1.9346787
taxable_income_gt_p40,urate_llm_p25,-2,2,1,amt_dur,.0039420264856848,0.004,.0027889071166278,0.003,.1575215358574077,703426,taxable_income_gt_p,40,-.0015242315,.009408284,3,-2,-1.8345963
taxable_income_gt_p45,urate_llm_p25,-2,2,1,amt_dur,.0030725578470179,0.003,.0028251602608092,0.003,.2767876882112218,703426,taxable_income_gt_p,45,-.0024647564,.0086098723,3,-2,-1.8710784
taxable_income_gt_p50,urate_llm_p25,-2,2,1,amt_dur,.0018966945042605,0.002,.0027514782448503,0.003,.4906129961497768,703426,taxable_income_gt_p,50,-.0034962029,.0072895917,3,-2,-1.9204165
taxable_income_gt_p55,urate_llm_p25,-2,2,1,amt_dur,.0007209681460458,0.001,.0027864798783405,0.003,.7958379174982435,703426,taxable_income_gt_p,55,-.0047405325,.0061824685,3,-2,-1.9697489
taxable_income_gt_p60,urate_llm_p25,-2,2,1,amt_dur,.001184421222247,0.001,.0026692247024101,0.003,.657237032843671,703426,taxable_income_gt_p,60,-.0040472592,.0064161015,3,-2,-1.9503028
taxable_income_gt_p65,urate_llm_p25,-2,2,1,amt_dur,.0036210056827079,0.004,.0028828263889657,0.003,.2090966030182157,703426,taxable_income_gt_p,65,-.002029334,.0092713451,3,-2,-1.848066
taxable_income_gt_p70,urate_llm_p25,-2,2,1,amt_dur,.0041143695131283,0.004,.0028890233667907,0.003,.1544092796999594,703426,taxable_income_gt_p,70,-.0015481163,.0097768549,3,-2,-1.8273649
taxable_income_gt_p75,urate_llm_p25,-2,2,1,amt_dur,.0024182793870162,0.002,.0027091543124777,0.003,.3720559704498473,703426,taxable_income_gt_p,75,-.002891663,.0077282218,3,-2,-1.8985313
taxable_income_gt_p80,urate_llm_p25,-2,2,1,amt_dur,.0011795066264134,0.001,.0025372121063376,0.003,.6420162304009751,703426,taxable_income_gt_p,80,-.0037934291,.0061524422,3,-2,-1.950509
taxable_income_gt_p85,urate_llm_p25,-2,2,1,amt_dur,.0013365132487451,0.001,.0024905851544458,0.002,.5915269544975591,703426,taxable_income_gt_p,85,-.0035450337,.0062180599,3,-2,-1.9439212
taxable_income_gt_p90,urate_llm_p25,-2,2,1,amt_dur,.0008424393451073,0.001,.0022693679441158,0.002,.7104729085213137,703426,taxable_income_gt_p,90,-.0036055217,.0052904007,3,-2,-1.9646521
taxable_income_gt_p95,urate_llm_p25,-2,2,1,amt_dur,.0010281295395305,0.001,.0020389595353006,0.002,.6140921904075416,703426,taxable_income_gt_p,95,-.0029682312,.0050244904,3,-2,-1.9568607
taxable_income_gt_p0,urate_llm_p25,0,2,1,amt_dur,-.0050061090129132,-0.005*,.0029232633119712,0.003,.0868061559748374,703426,taxable_income_gt_p,0,-.010735705,.00072348706,2,0,-.21005164
taxable_income_gt_p5,urate_llm_p25,0,2,1,amt_dur,-.005222140045207,-0.005*,.0031167192183616,0.003,.0938342410796792,703426,taxable_income_gt_p,5,-.01133091,.00088662963,2,0,-.21911611
taxable_income_gt_p10,urate_llm_p25,0,2,1,amt_dur,-.0077412724402191,-0.008**,.003126274821788,0.003,.0132805572231182,703426,taxable_income_gt_p,10,-.013868771,-.0016137738,1,0,-.32481655
taxable_income_gt_p15,urate_llm_p25,0,2,1,amt_dur,-.0095331012133762,-0.010***,.0032117727791152,0.003,.0029964057197772,703426,taxable_income_gt_p,15,-.015828175,-.0032380265,1,0,-.40000001
taxable_income_gt_p20,urate_llm_p25,0,2,1,amt_dur,-.0088210270954824,-0.009***,.0033285178318583,0.003,.0080471015926774,703426,taxable_income_gt_p,20,-.015344922,-.002297132,1,0,-.37012205
taxable_income_gt_p25,urate_llm_p25,0,2,1,amt_dur,-.0062832933335876,-0.006*,.0034829397323436,0.003,.0712309562288714,703426,taxable_income_gt_p,25,-.013109855,.00054326851,2,0,-.26364112
taxable_income_gt_p30,urate_llm_p25,0,2,1,amt_dur,-.0028186194796602,-0.003,.0034658459164544,0.003,.4160731861445992,703426,taxable_income_gt_p,30,-.0096116774,.0039744386,3,0,-.11826663
taxable_income_gt_p35,urate_llm_p25,0,2,1,amt_dur,-.003383561714211,-0.003,.0034261080047355,0.003,.3233597576035574,703426,taxable_income_gt_p,35,-.010098733,.00333161,3,0,-.14197108
taxable_income_gt_p40,urate_llm_p25,0,2,1,amt_dur,-.0028577401025832,-0.003,.0033784955347004,0.003,.3976317655177014,703426,taxable_income_gt_p,40,-.0094795916,.0037641111,3,0,-.1199081
taxable_income_gt_p45,urate_llm_p25,0,2,1,amt_dur,-.0029472736125476,-0.003,.0033026522898668,0.003,.3721827280511695,703426,taxable_income_gt_p,45,-.0094204722,.0035259249,3,0,-.12366484
taxable_income_gt_p50,urate_llm_p25,0,2,1,amt_dur,-.0027813069461759,-0.003,.0032743019567638,0.003,.3956411344191166,703426,taxable_income_gt_p,50,-.0091989385,.0036363248,3,0,-.11670104
taxable_income_gt_p55,urate_llm_p25,0,2,1,amt_dur,-.0053287237369937,-0.005,.003285231626203,0.003,.1048011991069371,703426,taxable_income_gt_p,55,-.011767778,.0011103302,3,0,-.22358826
taxable_income_gt_p60,urate_llm_p25,0,2,1,amt_dur,-.0067038499865936,-0.007**,.003225187078372,0.003,.0376571815999994,703426,taxable_income_gt_p,60,-.013025217,-.00038248333,1,0,-.28128728
taxable_income_gt_p65,urate_llm_p25,0,2,1,amt_dur,-.0033005036158254,-0.003,.0030855474685617,0.003,.2847723149854429,703426,taxable_income_gt_p,65,-.0093481764,.0027471695,3,0,-.13848604
taxable_income_gt_p70,urate_llm_p25,0,2,1,amt_dur,-.0031345464624982,-0.003,.0029695146018435,0.003,.291164636309987,703426,taxable_income_gt_p,70,-.0089547951,.0026857022,3,0,-.13152264
taxable_income_gt_p75,urate_llm_p25,0,2,1,amt_dur,-.0050871997257502,-0.005*,.0028906712401673,0.003,.0784330435598596,703426,taxable_income_gt_p,75,-.010752915,.00057851593,2,0,-.21345414
taxable_income_gt_p80,urate_llm_p25,0,2,1,amt_dur,-.0038108320205959,-0.004,.0027831267327727,0.003,.1709199936004044,703426,taxable_income_gt_p,80,-.00926576,.0016440963,3,0,-.15989894
taxable_income_gt_p85,urate_llm_p25,0,2,1,amt_dur,.001117310314559,0.001,.0024854030451109,0.002,.6530366169931496,703426,taxable_income_gt_p,85,-.0037540796,.0059887003,3,0,.046881296
taxable_income_gt_p90,urate_llm_p25,0,2,1,amt_dur,.0014692947902095,0.001,.0020907458767796,0.002,.4822061918465643,703426,taxable_income_gt_p,90,-.0026285672,.0055671567,3,0,.061650235
taxable_income_gt_p95,urate_llm_p25,0,2,1,amt_dur,.0005651858369731,0.001,.0017186033221739,0.002,.7422595348708575,703426,taxable_income_gt_p,95,-.0028032768,.0039336486,3,0,.023714669
taxable_income_gt_p0,urate_llm_p25,1,2,1,amt_dur,-.0005268782960412,-0.001,.0033686751082056,0.003,.8757139346432314,703426,taxable_income_gt_p,0,-.0071294815,.006075725,3,1,.9778927
taxable_income_gt_p5,urate_llm_p25,1,2,1,amt_dur,-.000948756236643,-0.001,.0035499208329707,0.004,.7892685426401049,703426,taxable_income_gt_p,5,-.0079066008,.0060090884,3,1,.96019107
taxable_income_gt_p10,urate_llm_p25,1,2,1,amt_dur,-.0014976778606215,-0.001,.0036450407341839,0.004,.6811606397110131,703426,taxable_income_gt_p,10,-.0086419573,.0056466018,3,1,.93715882
taxable_income_gt_p15,urate_llm_p25,1,2,1,amt_dur,-.0023689686519206,-0.002,.0037849556110367,0.004,.5313879423920032,703426,taxable_income_gt_p,15,-.0097874813,.0050495444,3,1,.90060031
taxable_income_gt_p20,urate_llm_p25,1,2,1,amt_dur,-.0025415801609911,-0.003,.0039007957315646,0.004,.5146901439701723,703426,taxable_income_gt_p,20,-.01018714,.0051039793,3,1,.89335769
taxable_income_gt_p25,urate_llm_p25,1,2,1,amt_dur,-.000219630325509,-0.000,.004068259479224,0.004,.9569461702624185,703426,taxable_income_gt_p,25,-.0081934193,.0077541582,3,1,.99078453
