outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,.0001377706840066,0.000,.0008995476603933,0.001,.8782760079128867,578327,inc_tot_gt_p,0,-.0016253428,.0019008841,3,-2,-1.9941258
inc_tot_gt_p5,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,.0001381896080702,0.000,.0016957230249341,0.002,.9350500622494431,578327,inc_tot_gt_p,5,-.0031854275,.0034618068,3,-2,-1.9941081
inc_tot_gt_p10,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,.0021129321782008,0.002,.0020710164173237,0.002,.307617969684743,578327,inc_tot_gt_p,10,-.00194626,.0061721243,3,-2,-1.9099112
inc_tot_gt_p15,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,.0026919065789021,0.003,.0022375737889072,0.002,.2289615117564474,578327,inc_tot_gt_p,15,-.001693738,.007077551,3,-2,-1.8852254
inc_tot_gt_p20,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,.0014228810291651,0.001,.0022280913071617,0.002,.5230785272482958,578327,inc_tot_gt_p,20,-.0029441779,.0057899398,3,-2,-1.9393327
inc_tot_gt_p25,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,.002312494170906,0.002,.0022654466680086,0.002,.3073675902234821,578327,inc_tot_gt_p,25,-.0021277813,.0067527695,3,-2,-1.9014025
inc_tot_gt_p30,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,-.0002386649472267,-0.000,.0022043596166037,0.002,.9137821632827908,578327,inc_tot_gt_p,30,-.0045592096,.0040818797,3,-2,-2.0101759
inc_tot_gt_p35,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,-.0008543655555906,-0.001,.0022072254158716,0.002,.6987004022109415,578327,inc_tot_gt_p,35,-.0051805275,.0034717962,3,-2,-2.0364275
inc_tot_gt_p40,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,-.0004011925622584,-0.000,.0023331202308161,0.002,.8634730283949368,578327,inc_tot_gt_p,40,-.0049741082,.004171723,3,-2,-2.0171056
inc_tot_gt_p45,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,-.0025894296686449,-0.003,.0025332874681003,0.003,.306707284039014,578327,inc_tot_gt_p,45,-.0075546731,.0023758137,3,-2,-2.1104052
