outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.000249400107331,0.000,.000778281369103,0.001,.7486280050388154,694908,inc_tot_gt_p,0,-.0012760314,.0017748316,3,-2,-1.9857994
inc_tot_gt_p5,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.0001482466014225,0.000,.0014682565514348,0.001,.9195762275925414,694908,inc_tot_gt_p,5,-.0027295363,.0030260293,3,-2,-1.991559
inc_tot_gt_p10,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.0012054292592762,0.001,.0018463702294525,0.002,.5138451467576218,694908,inc_tot_gt_p,10,-.0024134563,.0048243147,3,-2,-1.9313639
inc_tot_gt_p15,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.0026362045083601,0.003,.0019548744820091,0.002,.177491215303561,694908,inc_tot_gt_p,15,-.0011953495,.0064677587,3,-2,-1.849897
inc_tot_gt_p20,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.0005804929632488,0.001,.0019320066170339,0.002,.7638259950293715,694908,inc_tot_gt_p,20,-.00320624,.0043672258,3,-2,-1.9669473
inc_tot_gt_p25,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.0022987961004511,0.002,.0019501876722545,0.002,.238497824769745,694908,inc_tot_gt_p,25,-.0015235718,.0061211637,3,-2,-1.8691087
inc_tot_gt_p30,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.0004652024618199,0.000,.0019079383376241,0.002,.8073670685107752,694908,inc_tot_gt_p,30,-.0032743567,.0042047617,3,-2,-1.9735118
inc_tot_gt_p35,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0007258237992562,-0.001,.0019574996170996,0.002,.7107937247294349,694908,inc_tot_gt_p,35,-.0045625232,.0031108754,3,-2,-2.0413277
inc_tot_gt_p40,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0020588542573701,-0.002,.002075500644082,0.002,.3212097238529194,694908,inc_tot_gt_p,40,-.0061268355,.0020091271,3,-2,-2.1172292
inc_tot_gt_p45,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0037993893502342,-0.004*,.0021699669473856,0.002,.0799664533684608,694908,inc_tot_gt_p,45,-.0080525242,.00045374586,2,-2,-2.2163336
inc_tot_gt_p50,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0045505928405698,-0.005**,.0023033354717786,0.002,.0481965905401869,694908,inc_tot_gt_p,50,-.0090651307,-.000036055317,1,-2,-2.2591064
inc_tot_gt_p55,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0025883469713585,-0.003,.0023373042128391,0.002,.2681204975020327,694908,inc_tot_gt_p,55,-.0071694632,.0019927693,3,-2,-2.147378
inc_tot_gt_p60,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0000912719998284,-0.000,.0024700895769438,0.002,.9705242345417266,694908,inc_tot_gt_p,60,-.0049326476,.0047501037,3,-2,-2.005197
inc_tot_gt_p65,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.0008083060560332,0.001,.0025866467549215,0.003,.7546673555628283,694908,inc_tot_gt_p,65,-.0042615216,.0058781337,3,-2,-1.9539758
inc_tot_gt_p70,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.0015597738845272,0.002,.0025412799090038,0.003,.5393653708369028,694908,inc_tot_gt_p,70,-.0034211348,.0065406826,3,-2,-1.9111879
inc_tot_gt_p75,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.0006582677978658,0.001,.0023425544213753,0.002,.7787076657465802,694908,inc_tot_gt_p,75,-.0039331387,.0052496744,3,-2,-1.9625188
inc_tot_gt_p80,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.0001051994431055,0.000,.0021604193075494,0.002,.9611632535602169,694908,inc_tot_gt_p,80,-.0041292226,.0043396214,3,-2,-1.9940101
inc_tot_gt_p85,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0005914935884964,-0.001,.0020560872804382,0.002,.7735928523315119,694908,inc_tot_gt_p,85,-.0046214247,.0034384376,3,-2,-2.033679
inc_tot_gt_p90,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0001168973433203,-0.000,.0017587883835988,0.002,.947007984237118,694908,inc_tot_gt_p,90,-.0035641226,.0033303278,3,-2,-2.0066559
inc_tot_gt_p95,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0001129718702095,-0.000,.0015153969425837,0.002,.9405734068452887,694908,inc_tot_gt_p,95,-.0030831499,.0028572062,3,-2,-2.0064325
inc_tot_gt_p0,urate_llm_p50,0,2,1,0,amt_dur,firstapp,.0014618979450988,0.001*,.0007666578603878,0.001,.0565432904041949,694908,inc_tot_gt_p,0,-.00004075146,.0029645474,2,0,.083239101
inc_tot_gt_p5,urate_llm_p50,0,2,1,0,amt_dur,firstapp,.003376317158913,0.003**,.0015954729285944,0.002,.034331304958407,694908,inc_tot_gt_p,5,.00024919023,.0065034442,1,0,.19224434
inc_tot_gt_p10,urate_llm_p50,0,2,1,0,amt_dur,firstapp,.0026763406642719,0.003,.0020318958174937,0.002,.1877863654364172,694908,inc_tot_gt_p,10,-.0013061751,.0066588563,3,0,.15238833
