outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,.0019089212175752,0.002,.0029002481948046,0.003,.5104163410773628,578327,inc_work_gt_p,0,-.0037755652,.0075934078,3,-2,-1.905692
inc_work_gt_p5,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,.0000868754481492,0.000,.0030700373317515,0.003,.9774246648609309,578327,inc_work_gt_p,5,-.0059303977,.0061041485,3,-2,-1.995708
inc_work_gt_p10,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,-.0012282402861548,-0.001,.0031077156018606,0.003,.6926794216711487,578327,inc_work_gt_p,10,-.0073193628,.0048628822,3,-2,-2.0606797
inc_work_gt_p15,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,.0001271077817714,0.000,.0031257572591308,0.003,.9675633515025094,578327,inc_work_gt_p,15,-.0059993765,.0062535922,3,-2,-1.9937204
inc_work_gt_p20,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,.000621034395906,0.001,.0031446067514208,0.003,.8434430907359447,578327,inc_work_gt_p,20,-.0055423947,.0067844638,3,-2,-1.9693185
inc_work_gt_p25,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,.0008002882502389,0.001,.0031015104377478,0.003,.7963830172825048,578327,inc_work_gt_p,25,-.0052786721,.0068792487,3,-2,-1.9604627
inc_work_gt_p30,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,.0010249694178064,0.001,.0030936700410119,0.003,.740409801856913,578327,inc_work_gt_p,30,-.0050386237,.0070885625,3,-2,-1.9493626
inc_work_gt_p35,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,-.0015634890135346,-0.002,.0031006061964837,0.003,.6140851464149764,578327,inc_work_gt_p,35,-.007640677,.0045136991,3,-2,-2.0772424
inc_work_gt_p40,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,-.0027709421297356,-0.003,.0032035534583158,0.003,.3870638176655373,578327,inc_work_gt_p,40,-.0090499073,.0035080228,3,-2,-2.1368952
inc_work_gt_p45,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,-.0011419908555755,-0.001,.0031088246676814,0.003,.7133675007183071,578327,inc_work_gt_p,45,-.0072352872,.0049513057,3,-2,-2.0564187
inc_work_gt_p50,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,-.00120116261989,-0.001,.0028420567499529,0.003,.6725601136625472,578327,inc_work_gt_p,50,-.0067715938,.0043692687,3,-2,-2.0593419
inc_work_gt_p55,urate_llm_p50,-2,2,1,1,amt_dur,firstapp,-.000150070661246,-0.000,.0026940114434501,0.003,.9555767263498235,578327,inc_work_gt_p,55,-.0054303333,.0051301918,3,-2,-2.0074141
