outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,urate_llm_p50,-2,2,1,amt_dur,-.0003139724656344,-0.000,.0024930560092009,0.002,.8997806104697221,623199,inc_work_gt_p,0,-.0052003623,.0045724171,3,-2,-2.0127041
inc_work_gt_p5,urate_llm_p50,-2,2,1,amt_dur,-.0010725684871385,-0.001,.0026584759132359,0.003,.6866162493832509,623199,inc_work_gt_p,5,-.0062831813,.0041380441,3,-2,-2.0433984
inc_work_gt_p10,urate_llm_p50,-2,2,1,amt_dur,-.0003980469115522,-0.000,.0027540144623085,0.003,.8850796020093812,623199,inc_work_gt_p,10,-.0057959151,.0049998215,3,-2,-2.0161059
inc_work_gt_p15,urate_llm_p50,-2,2,1,amt_dur,.0006931054821978,0.001,.0027208357891189,0.003,.7989244723032525,623199,inc_work_gt_p,15,-.0046397327,.0060259434,3,-2,-1.9719554
inc_work_gt_p20,urate_llm_p50,-2,2,1,amt_dur,-.0004904812593123,-0.000,.002666410622889,0.003,.854054491028859,623199,inc_work_gt_p,20,-.0057166461,.0047356836,3,-2,-2.019846
inc_work_gt_p25,urate_llm_p50,-2,2,1,amt_dur,-.0017687858655435,-0.002,.0027740022270557,0.003,.523716198813891,623199,inc_work_gt_p,25,-.0072058304,.0036682584,3,-2,-2.071569
inc_work_gt_p30,urate_llm_p50,-2,2,1,amt_dur,-.0025971522209618,-0.003,.0027108690692724,0.003,.3380389412772435,623199,inc_work_gt_p,30,-.0079104556,.0027161511,3,-2,-2.1050866
inc_work_gt_p35,urate_llm_p50,-2,2,1,amt_dur,-.0008177931937953,-0.001,.0024866034926269,0.002,.7422473265754296,623199,inc_work_gt_p,35,-.0056915362,.0040559499,3,-2,-2.0330896
inc_work_gt_p40,urate_llm_p50,-2,2,1,amt_dur,-.0011363174991369,-0.001,.0024083282256255,0.002,.6370502832443763,623199,inc_work_gt_p,40,-.0058566406,.0035840059,3,-2,-2.0459778
inc_work_gt_p45,urate_llm_p50,-2,2,1,amt_dur,-.0016968851220651,-0.002,.0023320648597876,0.002,.4668404472110623,623199,inc_work_gt_p,45,-.0062677325,.002873962,3,-2,-2.0686598
inc_work_gt_p50,urate_llm_p50,-2,2,1,amt_dur,-.0006482059551332,-0.001,.0022769685164314,0.002,.7758903493998266,623199,inc_work_gt_p,50,-.0051110643,.0038146523,3,-2,-2.026228
inc_work_gt_p55,urate_llm_p50,-2,2,1,amt_dur,-.0000126588850109,-0.000,.0022263791782904,0.002,.9954633734252561,623199,inc_work_gt_p,55,-.0043763621,.0043510441,3,-2,-2.0005121
inc_work_gt_p60,urate_llm_p50,-2,2,1,amt_dur,.0005559668068509,0.001,.0021556233196785,0.002,.7964732827014368,623199,inc_work_gt_p,60,-.0036690549,.0047809887,3,-2,-1.9775044
inc_work_gt_p65,urate_llm_p50,-2,2,1,amt_dur,.0003647786198308,0.000,.0021591678775821,0.002,.8658409491528307,623199,inc_work_gt_p,65,-.0038671903,.0045967475,3,-2,-1.9852402
inc_work_gt_p70,urate_llm_p50,-2,2,1,amt_dur,.0001197906700664,0.000,.0021351015638179,0.002,.9552579679764113,623199,inc_work_gt_p,70,-.0040650084,.0043045897,3,-2,-1.995153
inc_work_gt_p75,urate_llm_p50,-2,2,1,amt_dur,-.0003507355259386,-0.000,.0020585190089855,0.002,.8647096892557971,623199,inc_work_gt_p,75,-.0043854327,.0036839617,3,-2,-2.0141916
inc_work_gt_p80,urate_llm_p50,-2,2,1,amt_dur,-.0012157280803916,-0.001,.0018915295632199,0.002,.5204057339232065,623199,inc_work_gt_p,80,-.0049231262,.00249167,3,-2,-2.049191
inc_work_gt_p85,urate_llm_p50,-2,2,1,amt_dur,-.0007219737688472,-0.001,.0018435202617762,0.002,.6953340281438295,623199,inc_work_gt_p,85,-.0043352735,.0028913259,3,-2,-2.0292127
inc_work_gt_p90,urate_llm_p50,-2,2,1,amt_dur,-.0003772633528606,-0.000,.0014673896233925,0.001,.7971033959779268,623199,inc_work_gt_p,90,-.003253347,.0024988204,3,-2,-2.015265
inc_work_gt_p95,urate_llm_p50,-2,2,1,amt_dur,.0004477501721266,0.000,.0012920886137348,0.001,.7289435492108741,623199,inc_work_gt_p,95,-.0020847435,.0029802439,3,-2,-1.981883
inc_work_gt_p0,urate_llm_p50,0,2,1,amt_dur,-.0007794213887487,-0.001,.0025639553851857,0.003,.7611347351021192,623199,inc_work_gt_p,0,-.0058047739,.0042459313,3,0,-.031537108
inc_work_gt_p5,urate_llm_p50,0,2,1,amt_dur,-.0000366871680286,-0.000,.0026991941773733,0.003,.98915559476702,623199,inc_work_gt_p,5,-.0053271079,.0052537336,3,0,-.0014844438
