outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.000268836291419,-0.000,.0024921799610075,0.002,.9140974762304011,694908,inc_work_gt_p,0,-.0051535089,.0046158363,3,-2,-2.0135942
inc_work_gt_p5,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.00142999598545,-0.001,.0026173302568034,0.003,.5848218875497639,694908,inc_work_gt_p,5,-.0065599633,.0036999714,3,-2,-2.07231
inc_work_gt_p10,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0023437003703493,-0.002,.0026794728646994,0.003,.3817461348473578,694908,inc_work_gt_p,10,-.0075954674,.0029080664,3,-2,-2.1185126
inc_work_gt_p15,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0011297060008143,-0.001,.0027154436940953,0.003,.6773888936569111,694908,inc_work_gt_p,15,-.0064519756,.0041925637,3,-2,-2.0571253
inc_work_gt_p20,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.0003357710446424,0.000,.0027438011992236,0.003,.9026027356301887,694908,inc_work_gt_p,20,-.0050420794,.0057136216,3,-2,-1.9830213
inc_work_gt_p25,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.0004363149074087,0.000,.0027213578626842,0.003,.8726215452269667,694908,inc_work_gt_p,25,-.0048975465,.0057701762,3,-2,-1.9779371
inc_work_gt_p30,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.0004975055462371,0.000,.0026763302767292,0.003,.8525306400069228,694908,inc_work_gt_p,30,-.0047481018,.0057431129,3,-2,-1.9748429
inc_work_gt_p35,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0015988719088057,-0.002,.0026710658818362,0.003,.5494479438749793,694908,inc_work_gt_p,35,-.006834161,.0036364172,3,-2,-2.0808494
inc_work_gt_p40,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0026693064335279,-0.003,.0027636937911301,0.003,.3341227284050597,694908,inc_work_gt_p,40,-.0080861459,.0027475334,3,-2,-2.1349776
inc_work_gt_p45,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0019471468373778,-0.002,.002711229173001,0.003,.4726487201390022,694908,inc_work_gt_p,45,-.0072611561,.0033668624,3,-2,-2.0984604
inc_work_gt_p50,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0018165456871184,-0.002,.0025013448661427,0.003,.4677008370799843,694908,inc_work_gt_p,50,-.0067191818,.0030860903,3,-2,-2.0918562
inc_work_gt_p55,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0007774280546102,-0.001,.0024246605423344,0.002,.7484885662008978,694908,inc_work_gt_p,55,-.0055297627,.0039749066,3,-2,-2.0393119
inc_work_gt_p60,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0013125730565582,-0.001,.0023315549026404,0.002,.5734630330443897,694908,inc_work_gt_p,60,-.0058824206,.0032572746,3,-2,-2.0663722
inc_work_gt_p65,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.000214104115077,0.000,.0022562857570442,0.002,.9244005603636627,694908,inc_work_gt_p,65,-.004208216,.0046364241,3,-2,-1.9891735
inc_work_gt_p70,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.0000595234900012,0.000,.0021524397625036,0.002,.9779381931193096,694908,inc_work_gt_p,70,-.0041592582,.0042783055,3,-2,-1.9969901
inc_work_gt_p75,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0006184258322032,-0.001,.0021195581293134,0.002,.7704621981036289,694908,inc_work_gt_p,75,-.00477276,.0035359082,3,-2,-2.0312717
inc_work_gt_p80,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.000126689275503,-0.000,.0019877384823599,0.002,.9491810483795103,694908,inc_work_gt_p,80,-.0040226565,.0037692781,3,-2,-2.0064063
inc_work_gt_p85,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,-.0013069702882031,-0.001,.0018484469819665,0.002,.4795282518777909,694908,inc_work_gt_p,85,-.0049299262,.0023159857,3,-2,-2.0660889
inc_work_gt_p90,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.0000696241052071,0.000,.0014695302351019,0.001,.9622116703933213,694908,inc_work_gt_p,90,-.0028106552,.0029499033,3,-2,-1.9964794
inc_work_gt_p95,urate_llm_p50,-2,2,1,0,amt_dur,firstapp,.0007380866608644,0.001,.0012470047835271,0.001,.5539271091431557,694908,inc_work_gt_p,95,-.0017060427,.0031822161,3,-2,-1.9626776
inc_work_gt_p0,urate_llm_p50,0,2,1,0,amt_dur,firstapp,.0003092962981657,0.000,.0024822361794795,0.002,.9008373775142403,694908,inc_work_gt_p,0,-.0045558866,.005174479,3,0,.01564003
inc_work_gt_p5,urate_llm_p50,0,2,1,0,amt_dur,firstapp,-.0007873484660144,-0.001,.0025660538215806,0.003,.7589715368981433,694908,inc_work_gt_p,5,-.005816814,.0042421171,3,0,-.039813451
inc_work_gt_p10,urate_llm_p50,0,2,1,0,amt_dur,firstapp,-.0018597474838245,-0.002,.002670267823093,0.003,.4861393173149308,694908,inc_work_gt_p,10,-.0070934724,.0033739775,3,0,-.094040908
inc_work_gt_p15,urate_llm_p50,0,2,1,0,amt_dur,firstapp,-.0006589869773267,-0.001,.0026844254086113,0.003,.8060811583157877,694908,inc_work_gt_p,15,-.0059204609,.0046024867,3,0,-.033322662
inc_work_gt_p20,urate_llm_p50,0,2,1,0,amt_dur,firstapp,-.0002559861337441,-0.000,.0027174716994792,0.003,.9249503730974984,694908,inc_work_gt_p,20,-.0055822306,.0050702584,3,0,-.012944321
inc_work_gt_p25,urate_llm_p50,0,2,1,0,amt_dur,firstapp,-.0006302621976227,-0.001,.0027201862488502,0.003,.8167728885344782,694908,inc_work_gt_p,25,-.0059618275,.0047013029,3,0,-.031870149
inc_work_gt_p30,urate_llm_p50,0,2,1,0,amt_dur,firstapp,-.000827856198806,-0.001,.0027636255359923,0.003,.764517648813972,694908,inc_work_gt_p,30,-.0062445621,.0045888498,3,0,-.041861784
inc_work_gt_p35,urate_llm_p50,0,2,1,0,amt_dur,firstapp,-.0024612357651988,-0.002,.002791294530175,0.003,.3779117020389837,694908,inc_work_gt_p,35,-.0079321731,.0030097016,3,0,-.12445606
inc_work_gt_p40,urate_llm_p50,0,2,1,0,amt_dur,firstapp,-.0042946113451888,-0.004,.0027589042139223,0.003,.1195597326721445,694908,inc_work_gt_p,40,-.0097020632,.001112841,3,0,-.21716344
inc_work_gt_p45,urate_llm_p50,0,2,1,0,amt_dur,firstapp,-.0054583878427486,-0.005**,.0027086038056257,0.003,.0438858211716209,694908,inc_work_gt_p,45,-.010767251,-.00014952438,1,0,-.27601153
inc_work_gt_p50,urate_llm_p50,0,2,1,0,amt_dur,firstapp,-.0048325863527877,-0.005*,.0027743193874784,0.003,.0815288469136339,694908,inc_work_gt_p,50,-.010270252,.00060507964,2,0,-.24436694
inc_work_gt_p55,urate_llm_p50,0,2,1,0,amt_dur,firstapp,-.0018761212734369,-0.002,.0027494339302401,0.003,.4950087832291932,694908,inc_work_gt_p,55,-.0072650118,.0035127692,3,0,-.094868876
