outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,urate_llm_p75,-2,2,1,amt_dur,.0019214210535558,0.002,.0034900551617513,0.003,.5819489995364628,630493,inc_y_gt_p,0,-.004919087,.0087619293,3,-2,-1.9465368
inc_y_gt_p5,urate_llm_p75,-2,2,1,amt_dur,-.0002566216087729,-0.000,.003416870947221,0.003,.9401318879556088,630493,inc_y_gt_p,5,-.0069536888,.0064404453,3,-2,-2.0071404
inc_y_gt_p10,urate_llm_p75,-2,2,1,amt_dur,-.0032879799825676,-0.003,.0033217336094313,0.003,.3222552698986842,630493,inc_y_gt_p,10,-.009798578,.0032226178,3,-2,-2.0914874
inc_y_gt_p15,urate_llm_p75,-2,2,1,amt_dur,-.0046834303593465,-0.005,.0032434238703337,0.003,.148748286874461,630493,inc_y_gt_p,15,-.011040541,.0016736804,3,-2,-2.1303155
inc_y_gt_p20,urate_llm_p75,-2,2,1,amt_dur,-.0084153070494005,-0.008***,.0032205449692011,0.003,.0089761934504045,630493,inc_y_gt_p,20,-.014727575,-.0021030388,1,-2,-2.2341542
inc_y_gt_p25,urate_llm_p75,-2,2,1,amt_dur,-.0063620463322485,-0.006**,.0031381159917991,0.003,.0426295249572243,630493,inc_y_gt_p,25,-.012512754,-.00021133899,1,-2,-2.1770227
inc_y_gt_p30,urate_llm_p75,-2,2,1,amt_dur,-.0053347921447646,-0.005*,.0031683823843718,0.003,.0922311745586483,630493,inc_y_gt_p,30,-.011544822,.00087523734,2,-2,-2.1484396
inc_y_gt_p35,urate_llm_p75,-2,2,1,amt_dur,-.0021910506777393,-0.002,.0029527723535937,0.003,.4580697555063599,630493,inc_y_gt_p,35,-.007978484,.0035963831,3,-2,-2.0609655
inc_y_gt_p40,urate_llm_p75,-2,2,1,amt_dur,-.0038119562293241,-0.004,.0027020776826323,0.003,.1583212253300275,630493,inc_y_gt_p,40,-.0091080284,.0014841161,3,-2,-2.1060669
inc_y_gt_p45,urate_llm_p75,-2,2,1,amt_dur,-.000581009088942,-0.001,.0025891697879364,0.003,.8224466815795762,630493,inc_y_gt_p,45,-.0056557818,.0044937637,3,-2,-2.0161664
inc_y_gt_p50,urate_llm_p75,-2,2,1,amt_dur,-.0002019596473653,-0.000,.0025240278433676,0.003,.936225613935853,630493,inc_y_gt_p,50,-.0051490543,.0047451351,3,-2,-2.0056195
inc_y_gt_p55,urate_llm_p75,-2,2,1,amt_dur,.000635646667825,0.001,.0024312348109397,0.002,.7937459011355421,630493,inc_y_gt_p,55,-.0041295737,.0054008667,3,-2,-1.9823133
inc_y_gt_p60,urate_llm_p75,-2,2,1,amt_dur,.0021250577413999,0.002,.0023511422240084,0.002,.3660819713636894,630493,inc_y_gt_p,60,-.002483181,.0067332964,3,-2,-1.9408706
inc_y_gt_p65,urate_llm_p75,-2,2,1,amt_dur,.0020753006043357,0.002,.0022254357618177,0.002,.3510613077601958,630493,inc_y_gt_p,65,-.0022865534,.0064371545,3,-2,-1.9422551
inc_y_gt_p70,urate_llm_p75,-2,2,1,amt_dur,.0022231826790143,0.002,.0021572468970736,0.002,.3027472805140901,630493,inc_y_gt_p,70,-.0020050213,.0064513865,3,-2,-1.9381404
inc_y_gt_p75,urate_llm_p75,-2,2,1,amt_dur,.0028278630875506,0.003,.0019628665773423,0.002,.1496779574815872,630493,inc_y_gt_p,75,-.0010193554,.0066750818,3,-2,-1.9213153
inc_y_gt_p80,urate_llm_p75,-2,2,1,amt_dur,.0008651924010857,0.001,.0018750825811519,0.002,.6445013785346682,630493,inc_y_gt_p,80,-.0028099695,.0045403545,3,-2,-1.9759262
inc_y_gt_p85,urate_llm_p75,-2,2,1,amt_dur,-.000700680474281,-0.001,.0017012424142874,0.002,.6804399446732448,630493,inc_y_gt_p,85,-.0040351157,.0026337546,3,-2,-2.0194962
inc_y_gt_p90,urate_llm_p75,-2,2,1,amt_dur,.002279764420517,0.002,.00146979550337,0.001,.1208864382052161,630493,inc_y_gt_p,90,-.00060103479,.0051605636,3,-2,-1.936566
inc_y_gt_p95,urate_llm_p75,-2,2,1,amt_dur,.0006490110191626,0.001,.0011257624039286,0.001,.5642730806947256,630493,inc_y_gt_p,95,-.0015574833,.0028555053,3,-2,-1.9819413
inc_y_gt_p0,urate_llm_p75,0,2,1,amt_dur,-.0053997190468023,-0.005,.004328914414189,0.004,.2122678785824512,630493,inc_y_gt_p,0,-.013884392,.0030849532,3,0,-.15024614
inc_y_gt_p5,urate_llm_p75,0,2,1,amt_dur,-.0042667896704157,-0.004,.004280562379965,0.004,.318872341579542,630493,inc_y_gt_p,5,-.012656691,.0041231127,3,0,-.1187226
inc_y_gt_p10,urate_llm_p75,0,2,1,amt_dur,-.0064878181796262,-0.006,.0041432262072045,0.004,.1173783539417737,630493,inc_y_gt_p,10,-.014608542,.0016329052,3,0,-.18052229
inc_y_gt_p15,urate_llm_p75,0,2,1,amt_dur,-.0051422811258276,-0.005,.0040616548798787,0.004,.2054959055818394,630493,inc_y_gt_p,15,-.013103125,.0028185623,3,0,-.14308299
inc_y_gt_p20,urate_llm_p75,0,2,1,amt_dur,-.0056584038784358,-0.006,.0039339353392245,0.004,.1503356702110325,630493,inc_y_gt_p,20,-.013368917,.0020521095,3,0,-.157444
inc_y_gt_p25,urate_llm_p75,0,2,1,amt_dur,-.0049505910395166,-0.005,.0038284131601098,0.004,.1959729370068282,630493,inc_y_gt_p,25,-.012454281,.0025530988,3,0,-.13774924
inc_y_gt_p30,urate_llm_p75,0,2,1,amt_dur,-.004694443588838,-0.005,.003479572402692,0.003,.1772936229670896,630493,inc_y_gt_p,30,-.011514406,.0021255184,3,0,-.13062198
inc_y_gt_p35,urate_llm_p75,0,2,1,amt_dur,-.0014994922959014,-0.001,.0032180669947428,0.003,.6412446777847314,630493,inc_y_gt_p,35,-.0078069037,.0048079188,3,0,-.041723084
inc_y_gt_p40,urate_llm_p75,0,2,1,amt_dur,-.0028959318311443,-0.003,.0029064747617891,0.003,.3190713844843747,630493,inc_y_gt_p,40,-.0085926224,.0028007587,3,0,-.080578744
inc_y_gt_p45,urate_llm_p75,0,2,1,amt_dur,-.0009408654827801,-0.001,.0027224957451742,0.003,.7296520425364238,630493,inc_y_gt_p,45,-.0062769572,.004395226,3,0,-.026179401
