outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,urate_mun_p50,-2,2,1,amt_dur,.0007994313199503,0.001,.0007739288692672,0.001,.3016287231385502,623199,inc_tot_gt_p,0,-.00071746926,.002316332,3,-2,-1.9550527
inc_tot_gt_p5,urate_mun_p50,-2,2,1,amt_dur,.0009943326106936,0.001,.0014640504738926,0.001,.4970344529981249,623199,inc_tot_gt_p,5,-.0018752064,.0038638716,3,-2,-1.9440945
inc_tot_gt_p10,urate_mun_p50,-2,2,1,amt_dur,.0033079084444068,0.003*,.0018356767357325,0.002,.0715465862482579,623199,inc_tot_gt_p,10,-.00029001795,.0069058347,2,-2,-1.8140159
inc_tot_gt_p15,urate_mun_p50,-2,2,1,amt_dur,.0043110325525374,0.004**,.0019479060458308,0.002,.0268885432168796,623199,inc_tot_gt_p,15,.0004931367,.008128928,1,-2,-1.757616
inc_tot_gt_p20,urate_mun_p50,-2,2,1,amt_dur,.0008979389145813,0.001,.0019270562583415,0.002,.6412421884506918,623199,inc_tot_gt_p,20,-.0028790913,.0046749692,3,-2,-1.9495142
inc_tot_gt_p25,urate_mun_p50,-2,2,1,amt_dur,.0036548768939916,0.004*,.0019518187423925,0.002,.0611333607765317,623199,inc_tot_gt_p,25,-.00017068784,.0074804416,2,-2,-1.7945079
inc_tot_gt_p30,urate_mun_p50,-2,2,1,amt_dur,.0025503642027748,0.003,.0019127311941144,0.002,.1824156769917062,623199,inc_tot_gt_p,30,-.001198589,.0062993173,3,-2,-1.856608
inc_tot_gt_p35,urate_mun_p50,-2,2,1,amt_dur,.0005078465186038,0.001,.0019650921379238,0.002,.7960725156130839,623199,inc_tot_gt_p,35,-.003343734,.0043594269,3,-2,-1.9714468
inc_tot_gt_p40,urate_mun_p50,-2,2,1,amt_dur,-.001526989450245,-0.002,.0020795447020557,0.002,.4627734489407519,623199,inc_tot_gt_p,40,-.0056028971,.0025489181,3,-2,-2.0858536
inc_tot_gt_p45,urate_mun_p50,-2,2,1,amt_dur,-.0040249250091847,-0.004*,.0021709480975602,0.002,.0637427441047226,623199,inc_tot_gt_p,45,-.008279983,.00023013326,2,-2,-2.2262979
inc_tot_gt_p50,urate_mun_p50,-2,2,1,amt_dur,-.0039161874639824,-0.004*,.0023043531731733,0.002,.0892328773560091,623199,inc_tot_gt_p,50,-.0084327199,.00060034473,2,-2,-2.2201841
inc_tot_gt_p55,urate_mun_p50,-2,2,1,amt_dur,-.0009232383721422,-0.001,.0023407424847549,0.002,.6932709061434028,623199,inc_tot_gt_p,55,-.0055110934,.003664617,3,-2,-2.0519083
inc_tot_gt_p60,urate_mun_p50,-2,2,1,amt_dur,.0002729075841172,0.000,.0024760188628122,0.002,.9122348559407717,623199,inc_tot_gt_p,60,-.0045800894,.0051259045,3,-2,-1.984656
inc_tot_gt_p65,urate_mun_p50,-2,2,1,amt_dur,.0014557888571142,0.001,.0025990120286298,0.003,.5753908235240029,623199,inc_tot_gt_p,65,-.0036382747,.0065498524,3,-2,-1.9181496
