outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,urate_mun_p50,-2,2,1,amt_dur,.0036264040640791,0.004,.0024849556161503,0.002,.1444734901664601,623199,inc_work_gt_p,0,-.0012441089,.0084969169,3,-2,-1.8237725
inc_work_gt_p5,urate_mun_p50,-2,2,1,amt_dur,.0026322859130776,0.003,.0026511933519578,0.003,.3207763653152051,623199,inc_work_gt_p,5,-.0025640531,.0078286249,3,-2,-1.8720824
inc_work_gt_p10,urate_mun_p50,-2,2,1,amt_dur,.0027377734615057,0.003,.0027485050594374,0.003,.3192060035518439,623199,inc_work_gt_p,10,-.0026492965,.0081248432,3,-2,-1.8669561
inc_work_gt_p15,urate_mun_p50,-2,2,1,amt_dur,.0038423843882225,0.004,.0027185572218554,0.003,.1575436836656396,623199,inc_work_gt_p,15,-.0014859878,.0091707567,3,-2,-1.8132769
inc_work_gt_p20,urate_mun_p50,-2,2,1,amt_dur,.0012486658190693,0.001,.0026677825933718,0.003,.6397470572381052,623199,inc_work_gt_p,20,-.0039801882,.0064775199,3,-2,-1.9393203
inc_work_gt_p25,urate_mun_p50,-2,2,1,amt_dur,-.0006295519375248,-0.001,.0027802795164419,0.003,.8208637232750675,623199,inc_work_gt_p,25,-.0060788998,.004819796,3,-2,-2.0305934
inc_work_gt_p30,urate_mun_p50,-2,2,1,amt_dur,-.0006220288586895,-0.001,.0027124671077113,0.003,.8186189561557,623199,inc_work_gt_p,30,-.0059384643,.0046944069,3,-2,-2.0302279
inc_work_gt_p35,urate_mun_p50,-2,2,1,amt_dur,.0002831818975581,0.000,.0024941557229296,0.002,.909604109199495,623199,inc_work_gt_p,35,-.0046053631,.0051717269,3,-2,-1.9862386
inc_work_gt_p40,urate_mun_p50,-2,2,1,amt_dur,-.0024900316103297,-0.002,.0024223545847906,0.002,.3039810616723949,623199,inc_work_gt_p,40,-.0072378465,.0022577834,3,-2,-2.1210046
inc_work_gt_p45,urate_mun_p50,-2,2,1,amt_dur,-.0023921718555028,-0.002,.0023451806144781,0.002,.3077130403997768,623199,inc_work_gt_p,45,-.0069887261,.0022043821,3,-2,-2.1162491
inc_work_gt_p50,urate_mun_p50,-2,2,1,amt_dur,-.0017178623877506,-0.002,.0022904656328081,0.002,.4532528884042538,623199,inc_work_gt_p,50,-.0062071751,.0027714502,3,-2,-2.0834806
inc_work_gt_p55,urate_mun_p50,-2,2,1,amt_dur,.0001452848221823,0.000,.0022367327564543,0.002,.948210717137941,623199,inc_work_gt_p,55,-.0042387112,.0045292811,3,-2,-1.9929398
inc_work_gt_p60,urate_mun_p50,-2,2,1,amt_dur,-.000109857257744,-0.000,.0021701043889186,0.002,.9596260059935001,623199,inc_work_gt_p,60,-.0043632616,.0041435473,3,-2,-2.0053387
inc_work_gt_p65,urate_mun_p50,-2,2,1,amt_dur,-.0007434822651343,-0.001,.0021767134297601,0.002,.7326813208485787,623199,inc_work_gt_p,65,-.0050098407,.003522876,3,-2,-2.03613
inc_work_gt_p70,urate_mun_p50,-2,2,1,amt_dur,-.0010973262821985,-0.001,.0021523942296346,0.002,.6101810121047674,623199,inc_work_gt_p,70,-.0053160191,.0031213665,3,-2,-2.0533252
inc_work_gt_p75,urate_mun_p50,-2,2,1,amt_dur,.0005976804789103,0.001,.0020679856080446,0.002,.7725698584327341,623199,inc_work_gt_p,75,-.0034555714,.0046509323,3,-2,-1.9709554
inc_work_gt_p80,urate_mun_p50,-2,2,1,amt_dur,-.0005505988340184,-0.001,.001902000174483,0.002,.7722114949248193,623199,inc_work_gt_p,80,-.0042785192,.0031773215,3,-2,-2.0267568
