outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,urate_mun_p50,-2,2,1,amt_dur,.0025909089967152,0.003,.0029695840022594,0.003,.3829473605996011,630493,inc_y_gt_p,0,-.0032294756,.0084112938,3,-2,-1.9018335
inc_y_gt_p5,urate_mun_p50,-2,2,1,amt_dur,.0008665488946027,0.001,.0029374981996632,0.003,.7679978503141287,630493,inc_y_gt_p,5,-.0048909476,.0066240453,3,-2,-1.9671675
inc_y_gt_p10,urate_mun_p50,-2,2,1,amt_dur,.001216766100496,0.001,.0028818057735557,0.003,.6728627408143333,630493,inc_y_gt_p,10,-.0044315732,.0068651056,3,-2,-1.9538982
inc_y_gt_p15,urate_mun_p50,-2,2,1,amt_dur,.0004795649846022,0.000,.0028194544669527,0.003,.8649385697988509,630493,inc_y_gt_p,15,-.0050465656,.0060056956,3,-2,-1.9818299
inc_y_gt_p20,urate_mun_p50,-2,2,1,amt_dur,-.0035414025294668,-0.004,.0028177791851939,0.003,.2088265324576195,630493,inc_y_gt_p,20,-.0090642497,.0019814447,3,-2,-2.1341796
inc_y_gt_p25,urate_mun_p50,-2,2,1,amt_dur,-.0024761594434019,-0.002,.0028453736841596,0.003,.3841709286416689,630493,inc_y_gt_p,25,-.0080530923,.0031007731,3,-2,-2.0938187
inc_y_gt_p30,urate_mun_p50,-2,2,1,amt_dur,-.0021856594922116,-0.002,.0028144677394837,0.003,.4374082880385681,630493,inc_y_gt_p,30,-.0077020163,.0033306973,3,-2,-2.0828121
inc_y_gt_p35,urate_mun_p50,-2,2,1,amt_dur,-.0019795314253036,-0.002,.0025767071793519,0.003,.4423458652086179,630493,inc_y_gt_p,35,-.0070298775,.0030708145,3,-2,-2.0750022
inc_y_gt_p40,urate_mun_p50,-2,2,1,amt_dur,-.0054481353761922,-0.005**,.0022794857456938,0.002,.0168467776354385,630493,inc_y_gt_p,40,-.0099159274,-.00098034332,1,-2,-2.2064235
inc_y_gt_p45,urate_mun_p50,-2,2,1,amt_dur,-.0032766893864866,-0.003,.0021946047252532,0.002,.1354228880121081,630493,inc_y_gt_p,45,-.0075781145,.0010247359,3,-2,-2.12415
inc_y_gt_p50,urate_mun_p50,-2,2,1,amt_dur,-.0024641719029382,-0.002,.0020924364409061,0.002,.2389360861014846,630493,inc_y_gt_p,50,-.0065653473,.0016370035,3,-2,-2.0933645
