outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,urate_mun_p50,-2,2,1,amt_dur,.002252548011057,0.002,.002048088006403,0.002,.2714087974593266,703426,taxable_income_gt_p,0,-.0017617045,.0062668007,3,-2,-1.9138508
taxable_income_gt_p5,urate_mun_p50,-2,2,1,amt_dur,.0031306206075535,0.003,.0021951715702609,0.002,.1538310239343839,703426,taxable_income_gt_p,5,-.0011719157,.0074331569,3,-2,-1.8802687
taxable_income_gt_p10,urate_mun_p50,-2,2,1,amt_dur,.0005322587968769,0.001,.0022830041787178,0.002,.8156534108384472,703426,taxable_income_gt_p,10,-.0039424296,.0050069471,3,-2,-1.9796436
taxable_income_gt_p15,urate_mun_p50,-2,2,1,amt_dur,.0016008428416392,0.002,.0022297296323784,0.002,.4727873421027745,703426,taxable_income_gt_p,15,-.0027694271,.0059711128,3,-2,-1.9387754
taxable_income_gt_p20,urate_mun_p50,-2,2,1,amt_dur,.001256838559963,0.001,.0021884225000993,0.002,.5657575051611112,703426,taxable_income_gt_p,20,-.0030324697,.0055461465,3,-2,-1.951932
taxable_income_gt_p25,urate_mun_p50,-2,2,1,amt_dur,.0002736070214345,0.000,.0022074800470835,0.002,.9013587295514845,703426,taxable_income_gt_p,25,-.0040530539,.0046002679,3,-2,-1.9895358
taxable_income_gt_p30,urate_mun_p50,-2,2,1,amt_dur,-.0011682153468184,-0.001,.0022303291134022,0.002,.6004284166646086,703426,taxable_income_gt_p,30,-.0055396603,.0032032297,3,-2,-2.0446787
taxable_income_gt_p35,urate_mun_p50,-2,2,1,amt_dur,-.0015016456015871,-0.002,.0023104869956855,0.002,.5157414051181372,703426,taxable_income_gt_p,35,-.0060302,.003026909,3,-2,-2.0574307
taxable_income_gt_p40,urate_mun_p50,-2,2,1,amt_dur,-.004824184665784,-0.005**,.0024354266689306,0.002,.0476120395101939,703426,taxable_income_gt_p,40,-.0095976209,-.000050748396,1,-2,-2.1845021
taxable_income_gt_p45,urate_mun_p50,-2,2,1,amt_dur,-.0058381936700334,-0.006**,.0024095091001349,0.002,.0153953942741545,703426,taxable_income_gt_p,45,-.010560831,-.0011155559,1,-2,-2.2232831
taxable_income_gt_p50,urate_mun_p50,-2,2,1,amt_dur,-.0034680594998123,-0.003,.0023732758531967,0.002,.1439370402829113,703426,taxable_income_gt_p,50,-.00811968,.0011835612,3,-2,-2.1326368
taxable_income_gt_p55,urate_mun_p50,-2,2,1,amt_dur,-.002021060366511,-0.002,.0023556952548809,0.002,.3909239527854768,703426,taxable_income_gt_p,55,-.0066382228,.0025961024,3,-2,-2.077296
taxable_income_gt_p60,urate_mun_p50,-2,2,1,amt_dur,-.0005899429017721,-0.001,.002362557190017,0.002,.8028157862265225,703426,taxable_income_gt_p,60,-.0052205548,.0040406692,3,-2,-2.0225625
taxable_income_gt_p65,urate_mun_p50,-2,2,1,amt_dur,-.0009004194717881,-0.001,.0024945614127047,0.002,.7181352788468274,703426,taxable_income_gt_p,65,-.00578976,.0039889207,3,-2,-2.0344367
taxable_income_gt_p70,urate_mun_p50,-2,2,1,amt_dur,-.000704874236318,-0.001,.0024245972518923,0.002,.771267511211694,703426,taxable_income_gt_p,70,-.0054570846,.0040473365,3,-2,-2.026958
taxable_income_gt_p75,urate_mun_p50,-2,2,1,amt_dur,-.0014685356606798,-0.001,.0021630810798326,0.002,.4971968554746891,703426,taxable_income_gt_p,75,-.0057081748,.0027711033,3,-2,-2.0561645
taxable_income_gt_p80,urate_mun_p50,-2,2,1,amt_dur,-.00282221187421,-0.003,.0020547709516588,0.002,.16960225332276,703426,taxable_income_gt_p,80,-.0068495627,.0012051392,3,-2,-2.1079361
taxable_income_gt_p85,urate_mun_p50,-2,2,1,amt_dur,-.0020616036495834,-0.002,.0019486955725414,0.002,.2900850250755191,703426,taxable_income_gt_p,85,-.0058810469,.0017578397,3,-2,-2.0788465
taxable_income_gt_p90,urate_mun_p50,-2,2,1,amt_dur,-.0018691554055505,-0.002,.0016372461987325,0.002,.2536037848635354,703426,taxable_income_gt_p,90,-.0050781579,.0013398471,3,-2,-2.0714862
taxable_income_gt_p95,urate_mun_p50,-2,2,1,amt_dur,-.0002702217172475,-0.000,.0014152752683231,0.001,.8485790198910084,703426,taxable_income_gt_p,95,-.0030441612,.0025037178,3,-2,-2.0103347
taxable_income_gt_p0,urate_mun_p50,0,2,1,amt_dur,.0066232947164389,0.007***,.0024872045536742,0.002,.0077471091122354,703426,taxable_income_gt_p,0,.0017483738,.011498216,1,0,.25330946
taxable_income_gt_p5,urate_mun_p50,0,2,1,amt_dur,.0084238113131895,0.008***,.0025932145147795,0.003,.0011608956302528,703426,taxable_income_gt_p,5,.0033411109,.013506512,1,0,.32217064
taxable_income_gt_p10,urate_mun_p50,0,2,1,amt_dur,.0095817945578186,0.010***,.0027319077371272,0.003,.0004527546592207,703426,taxable_income_gt_p,10,.0042272555,.014936334,1,0,.36645797
