outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,wage_daily_p75,-2,2,1,amt_dur,-.0010076170667575,-0.001,.0009204367381469,0.001,.2736435996310779,611418,inc_tot_gt_p,0,-.0028116731,.00079643895,3,-2,-2.0527067
inc_tot_gt_p5,wage_daily_p75,-2,2,1,amt_dur,-.0014922597326555,-0.001,.0014864979437293,0.001,.3154407767528444,611418,inc_tot_gt_p,5,-.0044057956,.0014212762,3,-2,-2.0780578
inc_tot_gt_p10,wage_daily_p75,-2,2,1,amt_dur,-.0056362647534202,-0.006***,.0018052167031418,0.002,.0017955034204655,611418,inc_tot_gt_p,10,-.0091744894,-.00209804,1,-2,-2.2948239
inc_tot_gt_p15,wage_daily_p75,-2,2,1,amt_dur,-.0034326863654206,-0.003*,.002025912675111,0.002,.0901942966514632,611418,inc_tot_gt_p,15,-.0074034752,.00053810247,2,-2,-2.1795583
inc_tot_gt_p20,wage_daily_p75,-2,2,1,amt_dur,-.0028503243499513,-0.003,.002077909403152,0.002,.1701515315773084,611418,inc_tot_gt_p,20,-.0069230269,.0012223781,3,-2,-2.1490958
inc_tot_gt_p25,wage_daily_p75,-2,2,1,amt_dur,-.0027350589105713,-0.003,.0021811485989783,0.002,.2098618420817471,611418,inc_tot_gt_p,25,-.0070101102,.0015399924,3,-2,-2.1430664
inc_tot_gt_p30,wage_daily_p75,-2,2,1,amt_dur,.0005320641078226,0.001,.00224948038425,0.002,.8130238084214247,611418,inc_tot_gt_p,30,-.0038769175,.0049410458,3,-2,-1.9721686
inc_tot_gt_p35,wage_daily_p75,-2,2,1,amt_dur,-.0011709602558305,-0.001,.0023926234560445,0.002,.6245565522920307,611418,inc_tot_gt_p,35,-.0058605024,.0035185816,3,-2,-2.0612509
inc_tot_gt_p40,wage_daily_p75,-2,2,1,amt_dur,-.000847920805976,-0.001,.0025234526586939,0.003,.7368594056160171,611418,inc_tot_gt_p,40,-.0057938881,.0040980466,3,-2,-2.0443532
inc_tot_gt_p45,wage_daily_p75,-2,2,1,amt_dur,-.0024169326961588,-0.002,.0025759361940645,0.003,.3481061366680972,611418,inc_tot_gt_p,45,-.0074657677,.0026319022,3,-2,-2.1264257
inc_tot_gt_p50,wage_daily_p75,-2,2,1,amt_dur,-.0009864965250092,-0.001,.0028559115954906,0.003,.7297773856318643,611418,inc_tot_gt_p,50,-.0065840832,.0046110903,3,-2,-2.0516021
inc_tot_gt_p55,wage_daily_p75,-2,2,1,amt_dur,-.0018087824826642,-0.002,.0029082242670066,0.003,.5339733612216901,611418,inc_tot_gt_p,55,-.0075089019,.003891337,3,-2,-2.0946145
inc_tot_gt_p60,wage_daily_p75,-2,2,1,amt_dur,-.000513846801384,-0.001,.0033936569480583,0.003,.8796495384112759,611418,inc_tot_gt_p,60,-.0071654143,.0061377208,3,-2,-2.0268786
inc_tot_gt_p65,wage_daily_p75,-2,2,1,amt_dur,-.0012943774547505,-0.001,.0039779088318639,0.004,.7448855198003994,611418,inc_tot_gt_p,65,-.0090910783,.0065023238,3,-2,-2.0677068
inc_tot_gt_p70,wage_daily_p75,-2,2,1,amt_dur,-.0002444349921535,-0.000,.0039692950391258,0.004,.9508962631398455,611418,inc_tot_gt_p,70,-.008024253,.0075353831,3,-2,-2.0127859
inc_tot_gt_p75,wage_daily_p75,-2,2,1,amt_dur,.0007258411519034,0.001,.0035411046038468,0.004,.8375913609544101,611418,inc_tot_gt_p,75,-.0062147239,.0076664062,3,-2,-1.9620324
inc_tot_gt_p80,wage_daily_p75,-2,2,1,amt_dur,-.0020040610745733,-0.002,.0033361794591247,0.003,.5480375724194556,611418,inc_tot_gt_p,80,-.0085429726,.0045348508,3,-2,-2.1048291
inc_tot_gt_p85,wage_daily_p75,-2,2,1,amt_dur,-.0012265249683024,-0.001,.0030410913686917,0.003,.6867156289458809,611418,inc_tot_gt_p,85,-.0071870643,.0047340142,3,-2,-2.0641575
inc_tot_gt_p90,wage_daily_p75,-2,2,1,amt_dur,.001918456834771,0.002,.0024087754834166,0.002,.4257754090304323,611418,inc_tot_gt_p,90,-.0028027431,.0066396566,3,-2,-1.8996487
inc_tot_gt_p95,wage_daily_p75,-2,2,1,amt_dur,.0016268890441234,0.002,.0020752760639296,0.002,.4330779878970655,611418,inc_tot_gt_p,95,-.0024406521,.0056944303,3,-2,-1.9149001
inc_tot_gt_p0,wage_daily_p75,0,2,1,amt_dur,-.0013516188988163,-0.001*,.0008072402646991,0.001,.0940610299552378,611418,inc_tot_gt_p,0,-.0029338098,.00023057203,2,0,-.070700996
inc_tot_gt_p5,wage_daily_p75,0,2,1,amt_dur,-.0005922388181253,-0.001,.0017491792848734,0.002,.7349261321323654,611418,inc_tot_gt_p,5,-.0040206304,.0028361527,3,0,-.030979054
inc_tot_gt_p10,wage_daily_p75,0,2,1,amt_dur,-.0037422297291595,-0.004*,.0021077447865831,0.002,.075823976290881,611418,inc_tot_gt_p,10,-.0078734094,.00038895005,2,0,-.19574998
inc_tot_gt_p15,wage_daily_p75,0,2,1,amt_dur,-.0039095799195793,-0.004*,.0023406773174911,0.002,.0948676666342304,611418,inc_tot_gt_p,15,-.0084973071,.0006781476,2,0,-.2045038
inc_tot_gt_p20,wage_daily_p75,0,2,1,amt_dur,-.0056106749077952,-0.006**,.002526953470848,0.003,.0263984934342324,611418,inc_tot_gt_p,20,-.010563504,-.0006578461,1,0,-.29348531
inc_tot_gt_p25,wage_daily_p75,0,2,1,amt_dur,-.004372426261494,-0.004,.002678336300818,0.003,.1025740285535474,611418,inc_tot_gt_p,25,-.0096219657,.00087711291,3,0,-.22871454
