outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,wage_daily_p75,-2,2,1,amt_dur,-.003635419413745,-0.004,.0030758890958676,0.003,.2372448280910435,611418,inc_work_gt_p,0,-.0096641621,.0023933232,3,-2,-2.1166327
inc_work_gt_p5,wage_daily_p75,-2,2,1,amt_dur,-.0054804004535834,-0.005*,.0031676887724209,0.003,.0836165064906109,611418,inc_work_gt_p,5,-.011689071,.00072826952,2,-2,-2.1758239
inc_work_gt_p10,wage_daily_p75,-2,2,1,amt_dur,-.0053083850147902,-0.005,.0033315192197385,0.003,.111077531813733,611418,inc_work_gt_p,10,-.011838162,.0012213927,3,-2,-2.1703053
inc_work_gt_p15,wage_daily_p75,-2,2,1,amt_dur,-.0072561552517904,-0.007**,.003396136594533,0.003,.032633684812792,611418,inc_work_gt_p,15,-.013912583,-.0005997275,1,-2,-2.2327943
inc_work_gt_p20,wage_daily_p75,-2,2,1,amt_dur,-.0015096349718452,-0.002,.00354177699094,0.004,.6699363707476464,611418,inc_work_gt_p,20,-.0084515177,.0054322481,3,-2,-2.0484326
inc_work_gt_p25,wage_daily_p75,-2,2,1,amt_dur,-.0011128176988182,-0.001,.0040013602948104,0.004,.7809286124547918,611418,inc_work_gt_p,25,-.0089554843,.0067298487,3,-2,-2.0357018
inc_work_gt_p30,wage_daily_p75,-2,2,1,amt_dur,-.0005427235433663,-0.001,.0040099091282958,0.004,.892338908411508,611418,inc_work_gt_p,30,-.0084021455,.0073166983,3,-2,-2.0174119
inc_work_gt_p35,wage_daily_p75,-2,2,1,amt_dur,-.0018955413622434,-0.002,.0033640565807342,0.003,.5731168754256626,611418,inc_work_gt_p,35,-.0084890919,.0046980097,3,-2,-2.0608134
inc_work_gt_p40,wage_daily_p75,-2,2,1,amt_dur,-.0016981617452933,-0.002,.0032944480745191,0.003,.6062315795343283,611418,inc_work_gt_p,40,-.0081552798,.0047589564,3,-2,-2.054481
inc_work_gt_p45,wage_daily_p75,-2,2,1,amt_dur,-.0013466394135991,-0.001,.0032181476749755,0.003,.6756177817274147,611418,inc_work_gt_p,45,-.0076542087,.00496093,3,-2,-2.0432034
inc_work_gt_p50,wage_daily_p75,-2,2,1,amt_dur,-.0013406126365104,-0.001,.0031320820123123,0.003,.668633090011205,611418,inc_work_gt_p,50,-.0074794935,.004798268,3,-2,-2.04301
inc_work_gt_p55,wage_daily_p75,-2,2,1,amt_dur,-.0012771645749046,-0.001,.0031396638932023,0.003,.6841676184210834,611418,inc_work_gt_p,55,-.0074309059,.0048765768,3,-2,-2.0409744
inc_work_gt_p60,wage_daily_p75,-2,2,1,amt_dur,-.0011887208169659,-0.001,.0030711658249178,0.003,.6987137289802167,611418,inc_work_gt_p,60,-.0072082058,.0048307641,3,-2,-2.038137
inc_work_gt_p65,wage_daily_p75,-2,2,1,amt_dur,-.000569658004725,-0.001,.003231566995076,0.003,.8600749690305005,611418,inc_work_gt_p,65,-.0069035292,.0057642134,3,-2,-2.018276
inc_work_gt_p70,wage_daily_p75,-2,2,1,amt_dur,-.0026744301541634,-0.003,.0031502955926663,0.003,.39591349586858,611418,inc_work_gt_p,70,-.0088490099,.0035001491,3,-2,-2.0858018
inc_work_gt_p75,wage_daily_p75,-2,2,1,amt_dur,-.0033886422957101,-0.003,.0030501575835239,0.003,.2665827041739756,611418,inc_work_gt_p,75,-.009366951,.0025896665,3,-2,-2.1087155
inc_work_gt_p80,wage_daily_p75,-2,2,1,amt_dur,-.0026843877788442,-0.003,.0029051203242709,0.003,.3554784032943498,611418,inc_work_gt_p,80,-.0083784238,.0030096481,3,-2,-2.0861213
inc_work_gt_p85,wage_daily_p75,-2,2,1,amt_dur,-.0033565198865655,-0.003,.0028510705604202,0.003,.2390849560321082,611418,inc_work_gt_p,85,-.0089446185,.0022315783,3,-2,-2.1076849
inc_work_gt_p90,wage_daily_p75,-2,2,1,amt_dur,.0011420855072129,0.001,.002054839723677,0.002,.578346970241429,611418,inc_work_gt_p,90,-.0028854003,.0051695714,3,-2,-1.9633592
inc_work_gt_p95,wage_daily_p75,-2,2,1,amt_dur,.0016644841041917,0.002,.0019107777015243,0.002,.3837000327341407,611418,inc_work_gt_p,95,-.0020806403,.0054096086,3,-2,-1.9465995
inc_work_gt_p0,wage_daily_p75,0,2,1,amt_dur,-.0023062282984787,-0.002,.003036449757403,0.003,.4475465012684487,611418,inc_work_gt_p,0,-.0082576694,.0036452133,3,0,-.073989153
inc_work_gt_p5,wage_daily_p75,0,2,1,amt_dur,-.0053701600628876,-0.005*,.003231853884266,0.003,.0965892087244502,611418,inc_work_gt_p,5,-.011704594,.00096427352,2,0,-.17228718
inc_work_gt_p10,wage_daily_p75,0,2,1,amt_dur,-.0088272557748091,-0.009***,.0033553070646859,0.003,.0085188703570222,611418,inc_work_gt_p,10,-.015403657,-.0022508539,1,0,-.28319883
inc_work_gt_p15,wage_daily_p75,0,2,1,amt_dur,-.0086992352164807,-0.009**,.0034614240269048,0.003,.0119658620287136,611418,inc_work_gt_p,15,-.015483626,-.0019148441,1,0,-.27909163
inc_work_gt_p20,wage_daily_p75,0,2,1,amt_dur,-.0054602076265334,-0.005,.0034841495159925,0.003,.1170812771450301,611418,inc_work_gt_p,20,-.01228914,.0013687254,3,0,-.17517611
inc_work_gt_p25,wage_daily_p75,0,2,1,amt_dur,-.001799047074371,-0.002,.0035596821925236,0.004,.6132822500882976,611418,inc_work_gt_p,25,-.008776024,.00517793,3,0,-.057717603
inc_work_gt_p30,wage_daily_p75,0,2,1,amt_dur,-.0034468409317252,-0.003,.0035357595804885,0.004,.3296362301796546,611418,inc_work_gt_p,30,-.010376929,.0034832479,3,0,-.11058265
inc_work_gt_p35,wage_daily_p75,0,2,1,amt_dur,-.0021128556272166,-0.002,.0040934107211668,0.004,.605743679065518,611418,inc_work_gt_p,35,-.01013594,.0059102294,3,0,-.067785308
inc_work_gt_p40,wage_daily_p75,0,2,1,amt_dur,-.002512548849692,-0.003,.0040332591013321,0.004,.5333138978205535,611418,inc_work_gt_p,40,-.010417737,.005392639,3,0,-.08060839
inc_work_gt_p45,wage_daily_p75,0,2,1,amt_dur,-.0008239325545177,-0.001,.0039383631294658,0.004,.8342871896379063,611418,inc_work_gt_p,45,-.0085431244,.006895259,3,0,-.026433667
