outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,wage_daily_p75,-2,2,1,amt_dur,-.002860884681771,-0.003,.0035903538177338,0.004,.4255543984789385,622472,inc_y_gt_p,0,-.009897978,.0041762087,3,-2,-2.1719704
inc_y_gt_p5,wage_daily_p75,-2,2,1,amt_dur,-.0047225112213837,-0.005,.0035563629588265,0.004,.184212602421497,622472,inc_y_gt_p,5,-.011692982,.0022479601,3,-2,-2.2838743
inc_y_gt_p10,wage_daily_p75,-2,2,1,amt_dur,-.0034612015203475,-0.003,.0035377299582291,0.004,.3278947464202049,622472,inc_y_gt_p,10,-.010395152,.0034727491,3,-2,-2.2080557
inc_y_gt_p15,wage_daily_p75,-2,2,1,amt_dur,-.0027892625137249,-0.003,.0035504910343012,0.004,.4321042561380993,622472,inc_y_gt_p,15,-.0097482251,.0041696997,3,-2,-2.167665
inc_y_gt_p20,wage_daily_p75,-2,2,1,amt_dur,.0019098832511695,0.002,.0035893621818005,0.004,.5946610741502031,622472,inc_y_gt_p,20,-.0051252665,.008945033,3,-2,-1.8851953
inc_y_gt_p25,wage_daily_p75,-2,2,1,amt_dur,.0024992188183125,0.002,.0040404155227618,0.004,.5362110258185693,622472,inc_y_gt_p,25,-.0054199956,.010418434,3,-2,-1.8497698
inc_y_gt_p30,wage_daily_p75,-2,2,1,amt_dur,-.0021178909763485,-0.002,.003780985779755,0.004,.5753834680703582,622472,inc_y_gt_p,30,-.009528623,.0052928412,3,-2,-2.1273084
inc_y_gt_p35,wage_daily_p75,-2,2,1,amt_dur,-.0017795827138181,-0.002,.003301249261461,0.003,.5898442925927532,622472,inc_y_gt_p,35,-.0082500316,.004690866,3,-2,-2.1069722
inc_y_gt_p40,wage_daily_p75,-2,2,1,amt_dur,.0005158171028805,0.001,.0026771583031066,0.003,.8472151732994241,622472,inc_y_gt_p,40,-.004731413,.0057630474,3,-2,-1.9689938
inc_y_gt_p45,wage_daily_p75,-2,2,1,amt_dur,-.0002539288696618,-0.000,.0025550556367884,0.003,.9208344484770565,622472,inc_y_gt_p,45,-.005261838,.0047539803,3,-2,-2.0152638
inc_y_gt_p50,wage_daily_p75,-2,2,1,amt_dur,-.0020097881685183,-0.002,.0024666375803026,0.002,.4151952655965173,622472,inc_y_gt_p,50,-.0068443976,.0028248215,3,-2,-2.12081
inc_y_gt_p55,wage_daily_p75,-2,2,1,amt_dur,-.0034916360298543,-0.003,.0024810041601155,0.002,.1593273479067039,622472,inc_y_gt_p,55,-.008354404,.0013711321,3,-2,-2.2098854
inc_y_gt_p60,wage_daily_p75,-2,2,1,amt_dur,-.0025069306955378,-0.003,.0024723145713359,0.002,.3105844811590439,622472,inc_y_gt_p,60,-.0073526674,.0023388059,3,-2,-2.1506939
inc_y_gt_p65,wage_daily_p75,-2,2,1,amt_dur,-.0024528465133104,-0.002,.0024584933886738,0.002,.3184257498163662,622472,inc_y_gt_p,65,-.0072714938,.0023658006,3,-2,-2.1474428
inc_y_gt_p70,wage_daily_p75,-2,2,1,amt_dur,-.004021632789596,-0.004*,.0024124909953176,0.002,.0955166791347397,622472,inc_y_gt_p,70,-.0087501155,.00070684956,2,-2,-2.2417438
inc_y_gt_p75,wage_daily_p75,-2,2,1,amt_dur,-.0027045516635552,-0.003,.0022025163218677,0.002,.2194734366605443,622472,inc_y_gt_p,75,-.0070214835,.0016123804,3,-2,-2.1625729
inc_y_gt_p80,wage_daily_p75,-2,2,1,amt_dur,-.0026684819684495,-0.003,.0021426841687682,0.002,.2129905607401533,622472,inc_y_gt_p,80,-.0068681431,.0015311789,3,-2,-2.1604047
inc_y_gt_p85,wage_daily_p75,-2,2,1,amt_dur,-.00282739006247,-0.003,.0019490263531329,0.002,.1468754726860052,622472,inc_y_gt_p,85,-.0066474816,.00099270162,3,-2,-2.1699569
inc_y_gt_p90,wage_daily_p75,-2,2,1,amt_dur,-.0022806088600371,-0.002,.0017426362046046,0.002,.1906349351934282,622472,inc_y_gt_p,90,-.0056961756,.0011349581,3,-2,-2.1370895
inc_y_gt_p95,wage_daily_p75,-2,2,1,amt_dur,-.000251457318795,-0.000,.0013144111601249,0.001,.848284711778985,622472,inc_y_gt_p,95,-.0028277033,.0023247886,3,-2,-2.0151153
inc_y_gt_p0,wage_daily_p75,0,2,1,amt_dur,.0005555237368322,0.001,.0035310835037309,0.004,.8749899224654254,622472,inc_y_gt_p,0,-.0063653998,.0074764476,3,0,.033393014
inc_y_gt_p5,wage_daily_p75,0,2,1,amt_dur,-.0012023889564378,-0.001,.0035199795924645,0.004,.7326603662947389,622472,inc_y_gt_p,5,-.008101549,.0056967712,3,0,-.072276644
inc_y_gt_p10,wage_daily_p75,0,2,1,amt_dur,-.0006920345007279,-0.001,.0035686712298358,0.004,.8462394040795953,622472,inc_y_gt_p,10,-.0076866299,.0063025611,3,0,-.041598793
