outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,wage_daily_p75,-2,2,1,amt_dur,-.0018598857918323,-0.002,.0019081574068564,0.002,.329710204823255,679232,taxable_income_gt_p,0,-.0055998745,.0018801027,3,-2,-2.0609574
taxable_income_gt_p5,wage_daily_p75,-2,2,1,amt_dur,-.0032541399282761,-0.003,.0020786041368618,0.002,.1174592755899331,679232,taxable_income_gt_p,5,-.0073282039,.00081992417,3,-2,-2.1066542
taxable_income_gt_p10,wage_daily_p75,-2,2,1,amt_dur,-.0033431455993602,-0.003,.002234278717057,0.002,.1345793008102179,679232,taxable_income_gt_p,10,-.0077223317,.0010360407,3,-2,-2.1095712
taxable_income_gt_p15,wage_daily_p75,-2,2,1,amt_dur,-.0048513090320109,-0.005**,.002330934746656,0.002,.0374115551301457,679232,taxable_income_gt_p,15,-.0094199413,-.00028267692,1,-2,-2.1590011
taxable_income_gt_p20,wage_daily_p75,-2,2,1,amt_dur,-.0026824454622436,-0.003,.0023436628228659,0.002,.2523972541609404,679232,taxable_income_gt_p,20,-.0072760247,.0019111336,3,-2,-2.0879169
taxable_income_gt_p25,wage_daily_p75,-2,2,1,amt_dur,-.0025924441880184,-0.003,.0023215176437138,0.002,.2641242925032144,679232,taxable_income_gt_p,25,-.0071426188,.0019577304,3,-2,-2.0849671
taxable_income_gt_p30,wage_daily_p75,-2,2,1,amt_dur,-.0018005905829016,-0.002,.0024681615145426,0.002,.4656810331087863,679232,taxable_income_gt_p,30,-.006638187,.0030370059,3,-2,-2.0590141
taxable_income_gt_p35,wage_daily_p75,-2,2,1,amt_dur,-.0032455326750693,-0.003,.0025803388285291,0.003,.2084694789097866,679232,taxable_income_gt_p,35,-.0083029969,.0018119314,3,-2,-2.1063719
taxable_income_gt_p40,wage_daily_p75,-2,2,1,amt_dur,-.0029202696625684,-0.003,.002714897413697,0.003,.2820880103083123,679232,taxable_income_gt_p,40,-.008241469,.0024009293,3,-2,-2.0957115
taxable_income_gt_p45,wage_daily_p75,-2,2,1,amt_dur,-.0015909559551504,-0.002,.0026760297398371,0.003,.5521650228682962,679232,taxable_income_gt_p,45,-.0068359743,.0036540623,3,-2,-2.0521433
taxable_income_gt_p50,wage_daily_p75,-2,2,1,amt_dur,-.0019233175393155,-0.002,.0026010481798175,0.003,.4596419481839689,679232,taxable_income_gt_p,50,-.0070213717,.0031747369,3,-2,-2.0630364
taxable_income_gt_p55,wage_daily_p75,-2,2,1,amt_dur,-.0006972366218611,-0.001,.0025791494854814,0.003,.7869024278969834,679232,taxable_income_gt_p,55,-.0057523698,.0043578963,3,-2,-2.0228519
taxable_income_gt_p60,wage_daily_p75,-2,2,1,amt_dur,.0006111488647107,0.001,.00306777006875,0.003,.8420941924541124,679232,taxable_income_gt_p,60,-.0054016802,.0066239783,3,-2,-1.9799696
taxable_income_gt_p65,wage_daily_p75,-2,2,1,amt_dur,-.0018717325170594,-0.002,.0036035969524839,0.004,.6034782842079844,679232,taxable_income_gt_p,65,-.0089347828,.0051913173,3,-2,-2.0613458
taxable_income_gt_p70,wage_daily_p75,-2,2,1,amt_dur,.0005404442303428,0.001,.0036896367725978,0.004,.8835457165183548,679232,taxable_income_gt_p,70,-.006691244,.0077721323,3,-2,-1.982287
taxable_income_gt_p75,wage_daily_p75,-2,2,1,amt_dur,.0004513932915679,0.000,.003117492705478,0.003,.8848740505462157,679232,taxable_income_gt_p,75,-.0056588924,.0065616788,3,-2,-1.9852057
taxable_income_gt_p80,wage_daily_p75,-2,2,1,amt_dur,-.0015480484064328,-0.002,.0030014262701897,0.003,.6060155483205569,679232,taxable_income_gt_p,80,-.007430844,.0043347469,3,-2,-2.0507371
taxable_income_gt_p85,wage_daily_p75,-2,2,1,amt_dur,-.0024515246936533,-0.002,.0028308452130508,0.003,.3864897661681959,679232,taxable_income_gt_p,85,-.0079999818,.0030969318,3,-2,-2.0803485
taxable_income_gt_p90,wage_daily_p75,-2,2,1,amt_dur,.0016194187702219,0.002,.0021469483691307,0.002,.4506776922707745,679232,taxable_income_gt_p,90,-.0025885999,.0058274376,3,-2,-1.9469237
taxable_income_gt_p95,wage_daily_p75,-2,2,1,amt_dur,.0019640431057827,0.002,.0019631577516644,0.002,.3170947213034768,679232,taxable_income_gt_p,95,-.0018837461,.0058118324,3,-2,-1.9356288
